problem,solver,tol,n_iter,primal,runtime
congress109,ProxNewton,0.1,8,-27.24351401406502,0.012448174999917683
congress109,ProxNewton,0.0562341325190349,8,-27.24351401406502,0.01142232399979548
congress109,ProxNewton,0.0316227766016838,9,-27.243893874026817,0.018630638000104227
congress109,ProxNewton,0.0177827941003892,9,-27.243893874026817,0.017353091000586574
congress109,ProxNewton,0.01,9,-27.243893874026817,0.015401139000459807
congress109,ProxNewton,0.0056234132519035,10,-27.2438997949558,0.018080807999467652
congress109,ProxNewton,0.0031622776601684,10,-27.2438997949558,0.01901707799970609
congress109,ProxNewton,0.0017782794100389,11,-27.24390071326454,0.02085960300064471
congress109,ProxNewton,0.001,11,-27.24390071326454,0.020772840000063297
congress109,ProxNewton,0.0005623413251903,11,-27.24390071326454,0.02620379200016032
congress109,ProxNewton,0.0003162277660168,12,-27.24390075155186,0.024527992000002996
congress109,ProxNewton,0.0001778279410039,12,-27.24390075155186,0.02529790900007356
congress109,ProxNewton,0.0001,13,-27.243900754655613,0.029396260000794427
congress109,ProxNewton,5.6234132519e-05,13,-27.243900754655613,0.029044824999800767
congress109,ProxNewton,3.16227766017e-05,13,-27.243900754655613,0.02949539699966408
congress109,ProxNewton,1.77827941004e-05,13,-27.243900754655613,0.029083607999382366
congress109,ProxNewton,1e-05,14,-27.243900754731364,0.030673174999719777
congress109,ProxNewton,5.6234132519e-06,14,-27.243900754731364,0.030552776999684284
congress109,ProxNewton,3.1622776602e-06,15,-27.243900754733268,0.03496999199978745
congress109,ProxNewton,1.77827941e-06,15,-27.243900754733268,0.03472167299969442
congress109,ProxNewton,1e-06,16,-27.243900754733414,0.037448099000357615
congress109,ProxNewton,5.623413252e-07,16,-27.243900754733414,0.0376258449996385
congress109,ProxNewton,3.16227766e-07,16,-27.243900754733414,0.037506098999983806
congress109,ProxNewton,1.77827941e-07,16,-27.243900754733414,0.037503534000279615
congress109,ProxNewton,1e-07,17,-27.243900754733424,0.04069657299987739
congress109,ProxNewton,5.62341325e-08,17,-27.243900754733424,0.040417565000097966
congress109,ProxNewton,3.16227766e-08,17,-27.243900754733424,0.04033494899977086
congress109,ProxNewton,1.77827941e-08,18,-27.243900754733424,0.05346159699911368
congress109,ProxNewton,1e-08,18,-27.243900754733424,0.05302965999999287
congress109,ProxNewton,5.6234133e-09,19,-27.243900754733428,0.056782748999467
