"problem","tol","primal","final_lambda","runtime"
"congress109",0.1,-27.2337539355369,1.0544,0.0139999999999998
"congress109",0.0562341325190349,-27.2337539355231,1.0544,0.00999999999999979
"congress109",0.0316227766016838,-27.2337543344805,1.0544,0.0110000000000001
"congress109",0.0177827941003892,-27.233754335862,1.0544,0.0110000000000001
"congress109",0.01,-27.2337934245894,1.0544,0.0140000000000002
"congress109",0.00562341325190349,-27.2342757940952,1.0544,0.0139999999999998
"congress109",0.00316227766016838,-27.2416837463089,1.0544,0.0129999999999999
"congress109",0.00177827941003892,-27.241683746309,1.0544,0.0149999999999997
"congress109",0.001,-27.241789785568,1.0544,0.0139999999999998
"congress109",0.000562341325190349,-27.2416259968893,1.0544,0.016
"congress109",0.000316227766016838,-27.2425811168383,1.0544,0.0179999999999998
