problem,family,lambda,F_star,dual_bound,duality_gap,relative_duality_gap,method
synthetic,logistic,0.0037456264333891737,0.11716978651018452,0.11716978649989043,1.0294085028839106e-11,8.785613881735915e-11,Intercepts guarded-Newton CD
w1a,logistic,0.0023922046539461856,0.0633807065992481,0.06338070659327094,5.9771632088256865e-12,9.430572061335452e-11,Intercepts guarded-Newton CD
news20-3pct,logistic,0.002286390688864218,0.04973920556417278,0.04973920555972521,4.447567314436185e-12,8.941773926602024e-11,Intercepts guarded-Newton CD
congress109,poisson,1.0544,-27.2439050445579,-27.2439050472603,2.7024000814890314e-9,9.919283146337529e-11,Intercepts guarded-Newton CD
