cell_id,cell_name,mu0,reg,seed,n,p,lambda,lambda_max,ybar,n_pos,n_neg
58,cell_058,0.99,0.05,2,500,1000,0.0031177537474844554,0.06235507494968911,0.89,445,55
59,cell_059,0.99,0.02,2,500,1000,0.0012471014989937823,0.06235507494968911,0.89,445,55
60,cell_060,0.99,0.01,2,500,1000,0.0006235507494968912,0.06235507494968911,0.89,445,55
61,cell_061,0.5,0.5,3,500,1000,0.07933977874552962,0.15867955749105925,0.502,251,249
62,cell_062,0.5,0.2,3,500,1000,0.03173591149821185,0.15867955749105925,0.502,251,249
63,cell_063,0.5,0.1,3,500,1000,0.015867955749105926,0.15867955749105925,0.502,251,249
64,cell_064,0.5,0.05,3,500,1000,0.007933977874552963,0.15867955749105925,0.502,251,249
65,cell_065,0.5,0.02,3,500,1000,0.003173591149821185,0.15867955749105925,0.502,251,249
66,cell_066,0.5,0.01,3,500,1000,0.0015867955749105924,0.15867955749105925,0.502,251,249
67,cell_067,0.7,0.5,3,500,1000,0.06956918221601245,0.1391383644320249,0.612,306,194
68,cell_068,0.7,0.2,3,500,1000,0.027827672886404982,0.1391383644320249,0.612,306,194
69,cell_069,0.7,0.1,3,500,1000,0.013913836443202491,0.1391383644320249,0.612,306,194
70,cell_070,0.7,0.05,3,500,1000,0.0069569182216012455,0.1391383644320249,0.612,306,194
71,cell_071,0.7,0.02,3,500,1000,0.002782767288640498,0.1391383644320249,0.612,306,194
72,cell_072,0.7,0.01,3,500,1000,0.001391383644320249,0.1391383644320249,0.612,306,194
73,cell_073,0.9,0.5,3,500,1000,0.06569633693720206,0.13139267387440412,0.726,363,137
74,cell_074,0.9,0.2,3,500,1000,0.026278534774880825,0.13139267387440412,0.726,363,137
75,cell_075,0.9,0.1,3,500,1000,0.013139267387440413,0.13139267387440412,0.726,363,137
76,cell_076,0.9,0.05,3,500,1000,0.006569633693720206,0.13139267387440412,0.726,363,137
77,cell_077,0.9,0.02,3,500,1000,0.0026278534774880824,0.13139267387440412,0.726,363,137
78,cell_078,0.9,0.01,3,500,1000,0.0013139267387440412,0.13139267387440412,0.726,363,137
79,cell_079,0.95,0.5,3,500,1000,0.05953592169030551,0.11907184338061103,0.796,398,102
80,cell_080,0.95,0.2,3,500,1000,0.023814368676122206,0.11907184338061103,0.796,398,102
81,cell_081,0.95,0.1,3,500,1000,0.011907184338061103,0.11907184338061103,0.796,398,102
82,cell_082,0.95,0.05,3,500,1000,0.0059535921690305514,0.11907184338061103,0.796,398,102
83,cell_083,0.95,0.02,3,500,1000,0.0023814368676122206,0.11907184338061103,0.796,398,102
84,cell_084,0.95,0.01,3,500,1000,0.0011907184338061103,0.11907184338061103,0.796,398,102
85,cell_085,0.99,0.5,3,500,1000,0.031911438182327195,0.06382287636465439,0.906,453,47
86,cell_086,0.99,0.2,3,500,1000,0.01276457527293088,0.06382287636465439,0.906,453,47
87,cell_087,0.99,0.1,3,500,1000,0.00638228763646544,0.06382287636465439,0.906,453,47
88,cell_088,0.99,0.05,3,500,1000,0.00319114381823272,0.06382287636465439,0.906,453,47
89,cell_089,0.99,0.02,3,500,1000,0.0012764575272930878,0.06382287636465439,0.906,453,47
90,cell_090,0.99,0.01,3,500,1000,0.0006382287636465439,0.06382287636465439,0.906,453,47
