Fstar,primals,time,dual_relgaps,dual_cert,reg,strategy,gaps,relgaps
15910.140914505446,112862.78864510865,0.001953125,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),6.093764238267081
15910.140914505446,52308.605344699536,0.5600941181182861,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),2.287752486026646
15910.140914505446,39694.92827708063,0.7964529991149902,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),1.4949451101900888
15910.140914505446,36009.724157025514,0.8955411911010742,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),1.2633189957604374
15910.140914505446,33132.9898644045,0.9798591136932373,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),1.08250763097873
15910.140914505446,30654.42253544715,1.111138105392456,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.9267222521894312
15910.140914505446,28548.169616075575,1.193202018737793,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.7943379489522876
15910.140914505446,26772.83154023534,1.4628181457519531,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.6827526345681993
15910.140914505446,25293.080963995577,1.5559320449829102,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.5897458796820337
15910.140914505446,24087.01593448673,1.641793966293335,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.5139410809697066
15910.140914505446,23085.507721085858,1.763322114944458,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.4509932907029474
15910.140914505446,22278.0013838338,1.8421401977539062,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.40023909929815327
15910.140914505446,21676.77009212498,1.905515193939209,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.3624499122042369
15910.140914505446,21186.763056187858,2.0212960243225098,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.3316515026508445
15910.140914505446,20775.274833324787,2.3709399700164795,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.3057882356267346
15910.140914505446,20423.592768185663,2.511568069458008,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.2836839647073933
15910.140914505446,20116.943497475917,2.6335790157318115,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.26441013977035766
15910.140914505446,19846.44980186705,2.7570300102233887,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.24740880099765983
15910.140914505446,19605.921486676598,2.879552125930786,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.23229087611673316
15910.140914505446,19390.03121762697,2.957669973373413,Float64(1000),5.536699809304472e-6,0.05,gradient,Float64(1000),0.21872152621532534
