problem,solver,tol,n_iter,primal,runtime,subopt
news20-3pct,BlitzL1,0.03162277660168379,-1,0.04974084968854382,0.0580417450000823,1.644124371119604e-6
news20-3pct,BlitzL1,0.01,-1,0.04974084968854382,0.060465270999884524,1.644124371119604e-6
news20-3pct,BlitzL1,0.1,-1,0.04975608637315235,0.06227696899986768,1.6880808979644057e-5
news20-3pct,BlitzL1,0.0031622776601683794,-1,0.04973920763054913,0.10717645199974868,2.066376424136873e-9
news20-3pct,BlitzL1,0.001,-1,0.04973920564645697,0.1165091590000884,8.228426967571423e-11
news20-3pct,BlitzL1,0.00031622776601683794,-1,0.04973920564645697,0.12122475500018481,8.228426967571423e-11
news20-3pct,BlitzL1,0.0001,-1,0.04973920556438864,0.12775954300013836,2.1593837828959295e-13
news20-3pct,BlitzL1,3.162277660168379e-7,-1,0.04973920556417309,0.13699804100042456,1.0e-15
news20-3pct,BlitzL1,1.0e-6,-1,0.04973920556417333,0.13789566900004502,1.0e-15
news20-3pct,BlitzL1,1.0e-9,-1,0.0497392055641727,0.14253367799983607,1.0e-15
news20-3pct,BlitzL1,3.1622776601683795e-10,-1,0.0497392055641727,0.1432874649999576,1.0e-15
news20-3pct,BlitzL1,3.162277660168379e-6,-1,0.04973920556417333,0.1433027520001815,1.0e-15
news20-3pct,BlitzL1,1.0e-5,-1,0.04973920556438864,0.1434874110000237,2.1593837828959295e-13
news20-3pct,BlitzL1,3.1622776601683795e-9,-1,0.0497392055641727,0.1477376819998426,1.0e-15
news20-3pct,BlitzL1,1.0e-7,-1,0.0497392055641727,0.14864415900001404,1.0e-15
news20-3pct,BlitzL1,1.0e-10,-1,0.0497392055641727,0.1498318929998277,1.0e-15
news20-3pct,BlitzL1,3.1622776601683795e-5,-1,0.04973920556438864,0.15213773999994373,2.1593837828959295e-13
news20-3pct,BlitzL1,3.162277660168379e-8,-1,0.0497392055641727,0.1537666439999157,1.0e-15
news20-3pct,BlitzL1,1.0e-8,-1,0.0497392055641727,0.1624842300002456,1.0e-15
news20-3pct,LIBLINEAR,0.1,6,0.0509751283766975,0.41800514099986685,0.0012359228125247979
news20-3pct,LIBLINEAR,0.03162277660168379,9,0.04987472065591751,0.5822296070000448,0.0001355150917448089
news20-3pct,LIBLINEAR,0.01,11,0.049757872293573494,0.6675333819998741,1.8666729400790283e-5
news20-3pct,LIBLINEAR,0.0031622776601683794,12,0.04975214703953467,0.7060163199998897,1.2941475361967492e-5
news20-3pct,LIBLINEAR,0.00031622776601683794,16,0.04974184826964777,0.8864073079998889,2.6427054750643997e-6
news20-3pct,LIBLINEAR,0.001,14,0.04974108926502392,0.9423156800003198,1.8837008512184727e-6
news20-3pct,LIBLINEAR,0.0001,17,0.04973987654868784,1.1472438519999741,6.709845151373073e-7
news20-3pct,LIBLINEAR,3.1622776601683795e-5,20,0.04974060155904213,1.1621918310002002,1.3959948694242108e-6
news20-3pct,LIBLINEAR,3.162277660168379e-6,28,0.049739205705428245,1.254628102999959,1.4125554198551882e-10
news20-3pct,LIBLINEAR,1.0e-6,26,0.04974027173640305,1.315514721999989,1.066172230348994e-6
news20-3pct,LIBLINEAR,1.0e-5,24,0.04973920575799555,1.3174752019999687,1.938228466613623e-10
news20-3pct,LIBLINEAR,3.162277660168379e-7,33,0.04973920556443044,1.3937153200004104,2.577382751667301e-13
synthetic,BlitzL1,0.1,-1,0.11727705484762338,0.004448632999810798,0.00010726833743879283
synthetic,BlitzL1,0.0031622776601683794,-1,0.11716995147860054,0.006573763999767834,1.6496841595547984e-7
synthetic,BlitzL1,0.03162277660168379,-1,0.11716995147860054,0.006586780000361614,1.6496841595547984e-7
synthetic,BlitzL1,0.01,-1,0.11716995147860054,0.006677199000023393,1.6496841595547984e-7
synthetic,BlitzL1,0.001,-1,0.11716978695683525,0.008944987000177207,4.4665066090132655e-10
synthetic,BlitzL1,0.00031622776601683794,-1,0.11716978695683525,0.009055548000105773,4.4665066090132655e-10
synthetic,BlitzL1,3.1622776601683795e-5,-1,0.11716978651249385,0.011365442000169423,2.3092638912203256e-12
synthetic,BlitzL1,0.0001,-1,0.11716978651249385,0.011486871000215615,2.3092638912203256e-12
synthetic,BlitzL1,3.162277660168379e-6,-1,0.11716978651020082,0.01328737199992247,1.6237011735142914e-14
