problem,primal
synthetic,0.117413921714809
synthetic,0.117413921714809
synthetic,0.117413921714809
synthetic,0.117413921714809
synthetic,0.117413921714809
synthetic,0.117270180114136
synthetic,0.117177967783335
synthetic,0.11717797241176
synthetic,0.117171866448368
synthetic,0.117170932299362
synthetic,0.11717019342709
synthetic,0.117169961409901
synthetic,0.117169813869225
synthetic,0.117169800370734
synthetic,0.117169792218565
synthetic,0.117169787911979
synthetic,0.11716978701368
synthetic,0.117169786692484
synthetic,0.11716978658814
synthetic,0.117169786549017
synthetic,0.117169786529428
synthetic,0.117169786520146
synthetic,0.117169786513053
synthetic,0.117169786511044
synthetic,0.11716978651047
synthetic,0.11967230958137
synthetic,0.11967230958137
synthetic,0.11967230958137
synthetic,0.11967230958137
synthetic,0.11967230958137
synthetic,0.119070688930061
synthetic,0.117866002669324
synthetic,0.117455863201895
synthetic,0.117320232530839
synthetic,0.117242947381159
synthetic,0.117204597025241
synthetic,0.117184060215011
synthetic,0.117175368146716
synthetic,0.117171763073061
synthetic,0.117170518869064
synthetic,0.117170063153437
synthetic,0.117169891698267
synthetic,0.117169823231075
synthetic,0.117169798451837
synthetic,0.117169790710166
synthetic,0.117169787983324
synthetic,0.117169787037573
synthetic,0.117169786719756
synthetic,0.117169786583929
synthetic,0.117169786532489
w1a,0.0634352169281368
w1a,0.0634352169281368
w1a,0.0634352169281368
w1a,0.0634352169281368
w1a,0.0634352169280846
w1a,0.0633894352377139
w1a,0.0633840531791844
w1a,0.063382247453228
w1a,0.0633814496022357
w1a,0.0633810623434771
w1a,0.0633808469316552
w1a,0.0633807959561331
w1a,0.0633807199591769
w1a,0.0633807095055997
w1a,0.0633807074109869
w1a,0.0633807068279254
w1a,0.0633807066986401
w1a,0.0633807066450114
w1a,0.0633807066255314
w1a,0.0633807066069146
w1a,0.0633807066019185
w1a,0.0633807066002595
w1a,0.0633807065995394
w1a,0.0633807065992921
w1a,0.0633807065992606
w1a,0.0650572907905659
w1a,0.0650572907905659
w1a,0.0650572907905659
w1a,0.0650572907905659
w1a,0.0650571416603485
w1a,0.0650583012972964
w1a,0.0644422148305985
w1a,0.0637265593004668
w1a,0.0634553170035379
w1a,0.0634046663656827
w1a,0.0633887290993562
w1a,0.063383529492324
w1a,0.0633816308764241
w1a,0.0633810535914096
w1a,0.0633808558537746
w1a,0.0633807735159275
w1a,0.0633807355693492
w1a,0.0633807159952291
w1a,0.0633807094412877
w1a,0.06338070751814
w1a,0.0633807069162308
w1a,0.0633807067197801
w1a,0.0633807066335379
w1a,0.0633807066074707
w1a,0.0633807066015412
synthetic,0.11760524016064955
synthetic,0.11722354787388121
synthetic,0.11720534130054086
synthetic,0.11716986950191217
synthetic,0.11716983135264349
synthetic,0.11716978870258463
synthetic,0.11716978681579515
synthetic,0.11716978653850006
synthetic,0.11716978652497603
synthetic,0.11716978651026502
synthetic,0.11716978651025758
synthetic,0.1171697865102597
synthetic,0.11716978651026802
synthetic,0.11727705484762338
synthetic,0.11716995147860054
synthetic,0.11716995147860054
synthetic,0.11716995147860054
synthetic,0.11716978695683525
synthetic,0.11716978695683525
synthetic,0.11716978651249385
synthetic,0.11716978651249385
synthetic,0.11716978651249385
synthetic,0.11716978651020082
synthetic,0.11716978651020082
synthetic,0.11716978651018474
synthetic,0.11716978651018474
synthetic,0.11716978651018459
synthetic,0.11716978651018459
synthetic,0.11716978651018459
synthetic,0.11716978651018459
synthetic,0.11716978651018459
synthetic,0.11716978651018459
w1a,0.06367785300621155
w1a,0.0637454343345532
w1a,0.06341430431793481
w1a,0.06339650420865192
w1a,0.06341149250718647
w1a,0.06339558748083358
w1a,0.06338254511473039
w1a,0.0633999237729569
w1a,0.06338070674401254
w1a,0.06338070682621702
w1a,0.06338070682039859
w1a,0.06338070660009393
w1a,0.06338070660018764
w1a,0.06338070659925912
w1a,0.0633807065992504
w1a,0.06340520808259113
w1a,0.06340342378813237
w1a,0.06338070744326647
w1a,0.06338070744326647
w1a,0.0633807070234135
w1a,0.06338070670135983
w1a,0.0633807065993407
w1a,0.06338070659930231
w1a,0.06338070659930231
w1a,0.06338070659924852
w1a,0.06338070659924852
w1a,0.06338070659924852
w1a,0.06338070659924852
w1a,0.06338070659924852
w1a,0.06338070659924852
w1a,0.06338070659924852
w1a,0.06338070659924852
w1a,0.06338070659924852
w1a,0.06338070659924852
news20-3pct,0.0509751283766975
news20-3pct,0.04987472065591751
news20-3pct,0.049757872293573494
news20-3pct,0.04975214703953467
news20-3pct,0.04974108926502392
news20-3pct,0.04974184826964777
news20-3pct,0.04973987654868784
news20-3pct,0.04974060155904213
news20-3pct,0.04973920575799555
news20-3pct,0.049739205705428245
news20-3pct,0.04974027173640305
news20-3pct,0.04973920556443044
news20-3pct,0.04973920556420003
news20-3pct,0.049739205564200015
news20-3pct,0.04973920556419232
news20-3pct,0.04975608637315235
news20-3pct,0.04974084968854382
news20-3pct,0.04974084968854382
news20-3pct,0.04973920763054913
news20-3pct,0.04973920564645697
news20-3pct,0.04973920564645697
news20-3pct,0.04973920556438864
news20-3pct,0.04973920556438864
news20-3pct,0.04973920556438864
news20-3pct,0.04973920556417333
news20-3pct,0.04973920556417333
news20-3pct,0.04973920556417309
news20-3pct,0.0497392055641727
news20-3pct,0.0497392055641727
news20-3pct,0.0497392055641727
news20-3pct,0.0497392055641727
news20-3pct,0.0497392055641727
news20-3pct,0.0497392055641727
news20-3pct,0.0497392055641727
