n,passes,wall_time,final_relgap,reg,strategy,reached_tol,ρ,seed,s,p,μ0
500,372,4.647486925125122,7.782718873453084e-11,0.01,newton,true,0.6,1,10,1000,0.9
500,691,11.040966033935547,9.440068306884748e-11,0.01,newton,true,0.6,1,10,1000,0.95
500,5000,90.04117894172668,3.6163800335963405e-7,0.01,newton,false,0.6,1,10,1000,0.99
500,16,0.30667805671691895,4.899713324946316e-11,0.5,exact,true,0.6,1,10,1000,0.5
500,7,0.05419492721557617,2.3320414222270504e-11,0.5,exact,true,0.6,1,10,1000,0.7
500,9,0.06361603736877441,2.0144294985491416e-11,0.5,exact,true,0.6,1,10,1000,0.9
500,19,0.31546688079833984,7.51775190275762e-11,0.5,exact,true,0.6,1,10,1000,0.95
500,22,0.17283010482788086,6.664217015688544e-11,0.5,exact,true,0.6,1,10,1000,0.99
500,23,0.17004013061523438,4.9815152692320086e-11,0.2,exact,true,0.6,1,10,1000,0.5
500,20,0.33220791816711426,8.305397832503377e-11,0.2,exact,true,0.6,1,10,1000,0.7
500,37,0.3052051067352295,9.253380612792173e-11,0.2,exact,true,0.6,1,10,1000,0.9
500,44,0.5352809429168701,9.413963231832414e-11,0.2,exact,true,0.6,1,10,1000,0.95
500,45,0.3639190196990967,8.123540176537862e-11,0.2,exact,true,0.6,1,10,1000,0.99
500,58,0.6735460758209229,8.671660288487346e-11,0.1,exact,true,0.6,1,10,1000,0.5
500,50,0.4450409412384033,9.908875599578846e-11,0.1,exact,true,0.6,1,10,1000,0.7
500,68,0.7871010303497314,8.191249538999496e-11,0.1,exact,true,0.6,1,10,1000,0.9
500,78,0.6614971160888672,9.05463858020126e-11,0.1,exact,true,0.6,1,10,1000,0.95
500,77,0.8152210712432861,6.630403403159164e-11,0.1,exact,true,0.6,1,10,1000,0.99
500,111,0.9490408897399902,9.128928887390342e-11,0.05,exact,true,0.6,1,10,1000,0.5
500,101,1.0862369537353516,9.26997618436723e-11,0.05,exact,true,0.6,1,10,1000,0.7
500,121,1.0547881126403809,9.640740413404817e-11,0.05,exact,true,0.6,1,10,1000,0.9
500,115,1.221851110458374,9.498355308003639e-11,0.05,exact,true,0.6,1,10,1000,0.95
500,123,1.3725199699401855,9.455492338806577e-11,0.05,exact,true,0.6,1,10,1000,0.99
500,230,2.193434000015259,9.633857206449207e-11,0.02,exact,true,0.6,1,10,1000,0.5
500,218,2.2343509197235107,9.368903796263581e-11,0.02,exact,true,0.6,1,10,1000,0.7
500,227,2.2757301330566406,8.033951251849124e-11,0.02,exact,true,0.6,1,10,1000,0.9
500,273,2.9161429405212402,8.711371899966533e-11,0.02,exact,true,0.6,1,10,1000,0.95
500,657,13.42803692817688,9.213033239789178e-11,0.02,exact,true,0.6,1,10,1000,0.99
500,374,3.718035936355591,8.940357089048517e-11,0.01,exact,true,0.6,1,10,1000,0.5
500,338,3.708916187286377,9.072223726344396e-11,0.01,exact,true,0.6,1,10,1000,0.7
500,378,4.853298902511597,9.659460187957365e-11,0.01,exact,true,0.6,1,10,1000,0.9
500,671,11.79445195198059,7.886373602431385e-11,0.01,exact,true,0.6,1,10,1000,0.95
500,5000,83.59883308410645,2.0501810967545323e-7,0.01,exact,false,0.6,1,10,1000,0.99
500,9,0.2198200225830078,2.0182107266891072e-11,0.5,gradient,true,0.6,2,10,1000,0.5
500,19,0.1706540584564209,6.20839002573693e-11,0.5,gradient,true,0.6,2,10,1000,0.7
500,11,0.0830681324005127,5.412138127576305e-11,0.5,gradient,true,0.6,2,10,1000,0.9
500,18,0.32126402854919434,4.1357253369738286e-11,0.5,gradient,true,0.6,2,10,1000,0.95
500,31,0.24419093132019043,7.258209620989856e-11,0.5,gradient,true,0.6,2,10,1000,0.99
500,27,0.39635205268859863,8.459179931599296e-11,0.2,gradient,true,0.6,2,10,1000,0.5
500,28,0.21614813804626465,6.627627129398315e-11,0.2,gradient,true,0.6,2,10,1000,0.7
500,27,0.2038259506225586,8.688994875754143e-11,0.2,gradient,true,0.6,2,10,1000,0.9
