p_K,amplitude,strategy,pass,relgaps,p_K_str,amp_str
0.05,0.5,gradient,68,0.002489125617084611,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,69,0.002428967135657531,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,70,0.0023707354727878255,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,71,0.002314336242409856,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,72,0.002259706412524829,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,73,0.0022067668916748466,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,74,0.0021554544869447937,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,75,0.0021056984943943614,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,76,0.002057440144998881,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,77,0.002010616356304424,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,78,0.001965172152463455,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,79,0.0019210532915320247,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,80,0.0018782066830214225,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,81,0.001836583544246247,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,82,0.0017961391366376899,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,83,0.0017568255789226072,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,84,0.001718605545640809,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,85,0.0016814318001560022,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,86,0.0016452588453873093,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,87,0.0016100596648562413,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,88,0.001575793584316129,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,89,0.001542433692203169,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,90,0.0015099451844301011,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,91,0.0014782986496001227,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,92,0.001447462435192673,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,93,0.0014174123459261142,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,94,0.0013881569282683743,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,95,0.001359652705393698,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,96,0.0013318720649248183,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,97,0.0013047865829720377,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,98,0.0012783769815647504,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,99,0.0012526192317023855,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,gradient,100,0.0012274929802006088,$\bar{p}_K = 0.05$,amp = 0.5
0.01,2.0,exact,34,5.600255369500034e-8,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,35,7.802091642025212e-7,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,36,6.567526017469478e-7,$\bar{p}_K = 0.01$,amp = 2.0
0.01,2.0,exact,37,5.533364419335913e-7,$\bar{p}_K = 0.01$,amp = 2.0
