μ0,reg,gradient,newton,exact,gradient_ratio,exact_ratio,reg_str,μ0_str
0.5,0.5,11.0,10.666666666666666,10.666666666666666,1.03125,1.0,0.5,0.5
0.7,0.5,15.666666666666666,14.0,13.666666666666666,1.119047619047619,0.9761904761904762,0.5,0.7
0.9,0.5,16.0,9.666666666666666,10.333333333333334,1.6551724137931036,1.0689655172413794,0.5,0.9
0.95,0.5,23.666666666666668,15.666666666666666,15.333333333333334,1.5106382978723405,0.9787234042553192,0.5,0.95
0.99,0.5,55.0,17.666666666666668,16.666666666666668,3.1132075471698113,0.9433962264150944,0.5,0.99
0.5,0.2,25.333333333333332,25.333333333333332,25.333333333333332,1.0,1.0,0.2,0.5
0.7,0.2,29.0,25.333333333333332,25.333333333333332,1.1447368421052633,1.0,0.2,0.7
0.9,0.2,39.666666666666664,30.0,30.0,1.3222222222222222,1.0,0.2,0.9
0.95,0.2,60.666666666666664,33.0,32.666666666666664,1.8383838383838382,0.9898989898989898,0.2,0.95
0.99,0.2,161.33333333333334,44.333333333333336,42.666666666666664,3.6390977443609023,0.9624060150375939,0.2,0.99
0.5,0.1,53.666666666666664,54.333333333333336,54.0,0.9877300613496932,0.9938650306748466,0.1,0.5
0.7,0.1,60.0,55.0,54.666666666666664,1.0909090909090908,0.9939393939393939,0.1,0.7
0.9,0.1,89.33333333333333,60.333333333333336,60.0,1.4806629834254141,0.994475138121547,0.1,0.9
0.95,0.1,140.33333333333334,63.0,62.666666666666664,2.2275132275132274,0.9947089947089947,0.1,0.95
0.99,0.1,382.6666666666667,79.66666666666667,78.0,4.803347280334728,0.9790794979079497,0.1,0.99
0.5,0.05,111.66666666666667,109.0,109.33333333333333,1.0244648318042815,1.003058103975535,0.05,0.5
0.7,0.05,138.66666666666666,123.0,123.0,1.127371273712737,1.0,0.05,0.7
0.9,0.05,211.66666666666666,118.0,117.33333333333333,1.7937853107344632,0.9943502824858756,0.05,0.9
0.95,0.05,337.0,111.33333333333333,112.33333333333333,3.0269461077844313,1.0089820359281436,0.05,0.95
0.99,0.05,878.3333333333334,129.66666666666666,128.66666666666666,6.773778920308484,0.9922879177377892,0.05,0.99
0.5,0.02,256.6666666666667,219.66666666666666,219.66666666666666,1.1684370257966616,1.0,0.02,0.5
0.7,0.02,322.0,237.0,236.66666666666666,1.358649789029536,0.9985935302390998,0.02,0.7
0.9,0.02,628.0,215.66666666666666,217.0,2.911901081916538,1.0061823802163834,0.02,0.9
0.95,0.02,1091.6666666666667,247.0,245.66666666666666,4.419703103913631,0.9946018893387314,0.02,0.95
0.99,0.02,2792.0,414.3333333333333,395.3333333333333,6.738535800482704,0.9541432019308126,0.02,0.99
0.5,0.01,555.0,333.3333333333333,333.3333333333333,1.665,1.0,0.01,0.5
0.7,0.01,652.3333333333334,356.0,356.3333333333333,1.8323970037453186,1.000936329588015,0.01,0.7
0.9,0.01,1398.0,346.6666666666667,347.6666666666667,4.032692307692307,1.0028846153846154,0.01,0.9
0.95,0.01,2578.6666666666665,481.3333333333333,472.6666666666667,5.357340720221607,0.9819944598337951,0.01,0.95
0.99,0.01,4621.333333333333,2364.0,2340.0,1.9548787366046247,0.9898477157360406,0.01,0.99
