mu0,reg,gradient,newton,skglm_ratio,reg_str,μ0_str
0.5,0.5,168.33333333333334,5.666666666666667,29.705882352941178,0.5,0.5
0.5,0.2,223.0,5.333333333333333,41.8125,0.2,0.5
0.5,0.1,318.3333333333333,9.0,35.37037037037037,0.1,0.5
0.5,0.05,557.3333333333334,12.0,46.44444444444445,0.05,0.5
0.5,0.02,1757.0,14.666666666666666,119.79545454545455,0.02,0.5
0.5,0.01,821.3333333333334,16.0,51.333333333333336,0.01,0.5
0.7,0.5,191.33333333333334,2.0,95.66666666666667,0.5,0.7
0.7,0.2,339.6666666666667,5.0,67.93333333333334,0.2,0.7
0.7,0.1,519.6666666666666,9.0,57.74074074074073,0.1,0.7
0.7,0.05,1041.0,12.333333333333334,84.4054054054054,0.05,0.7
0.7,0.02,3063.0,14.666666666666666,208.8409090909091,0.02,0.7
0.7,0.01,5000.0,16.333333333333332,306.12244897959187,0.01,0.7
0.9,0.5,289.6666666666667,3.3333333333333335,86.9,0.5,0.9
0.9,0.2,483.0,5.333333333333333,90.5625,0.2,0.9
0.9,0.1,865.3333333333334,9.666666666666666,89.51724137931035,0.1,0.9
0.9,0.05,1883.6666666666667,12.333333333333334,152.72972972972974,0.05,0.9
0.9,0.02,5000.0,14.333333333333334,348.83720930232556,0.02,0.9
0.9,0.01,5000.0,17.333333333333332,288.4615384615385,0.01,0.9
0.95,0.5,300.3333333333333,3.6666666666666665,81.9090909090909,0.5,0.95
0.95,0.2,729.3333333333334,6.333333333333333,115.15789473684211,0.2,0.95
0.95,0.1,1415.3333333333333,10.0,141.53333333333333,0.1,0.95
0.95,0.05,3142.6666666666665,13.666666666666666,229.9512195121951,0.05,0.95
0.95,0.02,3785.0,14.333333333333334,264.06976744186045,0.02,0.95
0.95,0.01,4328.0,15.333333333333334,282.2608695652174,0.01,0.95
0.99,0.5,829.3333333333334,5.666666666666667,146.35294117647058,0.5,0.99
0.99,0.2,1950.0,9.333333333333334,208.92857142857142,0.2,0.99
0.99,0.1,4219.333333333333,12.666666666666666,333.10526315789474,0.1,0.99
0.99,0.05,2705.6666666666665,13.333333333333334,202.92499999999998,0.05,0.99
0.99,0.02,5000.0,12.333333333333334,405.40540540540536,0.02,0.99
0.99,0.01,5000.0,12.0,416.6666666666667,0.01,0.99
