primals,time,strategy,gaps,relgaps,dataset
529.0,2.5987625122070312e-5,gradient,16505.006836023174,31.20039099437273,congress109
-6441.414123504659,0.006131887435913086,gradient,9277.356885093695,1.4402671070690376,congress109
-7670.289070212065,0.01640605926513672,gradient,7917.020037289424,1.032167101502804,congress109
-8272.554484575423,0.039231061935424805,gradient,7173.566229799697,0.8671524911894092,congress109
-8633.233912396652,0.04364585876464844,gradient,6801.003463400766,0.787770090838736,congress109
-8900.637263748304,0.05469202995300293,gradient,6530.899809155602,0.7337564284026625,congress109
-9113.734223876965,0.05907702445983887,gradient,6288.347633180976,0.6899858475910136,congress109
-9291.433404578116,0.0639338493347168,gradient,6082.571480231745,0.6546429614654197,congress109
-9431.491681464162,0.06804394721984863,gradient,5863.924594156433,0.6217388290423755,congress109
-9545.989404682176,0.07284903526306152,gradient,5771.998002341095,0.6046516246403972,congress109
-9645.689628662409,0.07736086845397949,gradient,5657.404088330375,0.5865214729198063,congress109
-9738.888929393792,0.08170795440673828,gradient,5546.421898214441,0.5695127995016249,congress109
-9825.585238000873,0.08603096008300781,gradient,5448.889908023275,0.554561359556422,congress109
-9903.142664909274,0.09014487266540527,gradient,5384.018766375595,0.5436676970688598,congress109
-9974.590081309867,0.09405803680419922,gradient,5345.696397938553,0.5359314372181753,congress109
-10039.214989651504,0.0976419448852539,gradient,5214.383291084154,0.5194014966767001,congress109
-10098.61963331949,0.10121798515319824,gradient,4877.694692031968,0.48300608094382047,congress109
-10149.5666707368,0.10477995872497559,gradient,4799.268288288178,0.4728545014759511,congress109
-10194.803753296375,0.1083979606628418,gradient,4766.596193209954,0.4675515398389821,congress109
-10236.25563016223,0.11231803894042969,gradient,4762.649865959105,0.4652726580924224,congress109
-10273.398108911497,0.1160738468170166,gradient,4772.323370835922,0.4645321168558868,congress109
-10306.713005699366,0.12143588066101074,gradient,4770.229574644558,0.4628274380014981,congress109
-10338.259171344847,0.12505698204040527,gradient,4735.323864360098,0.45803880381382484,congress109
-10367.23037342324,0.12858986854553223,gradient,4738.558955521394,0.45707086510480727,congress109
-10395.241470117855,0.1322648525238037,gradient,4771.0061965850655,0.45896059368123315,congress109
-10422.681688707164,0.1358499526977539,gradient,4774.515208031882,0.4580889401242106,congress109
-10449.85683945094,0.1398160457611084,gradient,4754.962841697343,0.4550266012971695,congress109
-10475.76196396734,0.14335298538208008,gradient,4737.945285931635,0.45227691333846415,congress109
-10500.099633947748,0.1472029685974121,gradient,4694.213277574854,0.4470636890337734,congress109
-10522.695834522676,0.15073490142822266,gradient,4668.750065124534,0.4436838371596165,congress109
-10544.529674641546,0.15447497367858887,gradient,4636.877424330352,0.43974246053681665,congress109
-10565.552543994589,0.15803194046020508,gradient,4578.663884775266,0.43335773171444375,congress109
-10585.80106644613,0.16153597831726074,gradient,4527.872372599861,0.4277307257314594,congress109
-10605.23943587931,0.16507506370544434,gradient,4511.881796951875,0.42543893744514805,congress109
-10621.782873308282,0.16874194145202637,gradient,4479.060791457214,0.4216863444566116,congress109
-10635.586271924754,0.17268800735473633,gradient,4455.57853358552,0.4189311637052971,congress109
-10649.27401648008,0.1764998435974121,gradient,4507.601842810023,0.4232778531038238,congress109
-10663.43745800225,0.18040084838867188,gradient,4513.165110740114,0.4232373592957365,congress109
-10677.292913792959,0.1839449405670166,gradient,4493.112316111132,0.42081006416026256,congress109
-10690.75676797163,0.18757987022399902,gradient,4479.2008379346025,0.418978837059862,congress109
-10703.786915014598,0.19120097160339355,gradient,4471.922381878958,0.4177888085202842,congress109
-10716.430457529015,0.19471001625061035,gradient,4466.014174646427,0.416744567358131,congress109
-10728.751707090814,0.19822192192077637,gradient,4454.807233810172,0.41522139345119846,congress109
-10741.421371903598,0.20195794105529785,gradient,4453.371217406957,0.41459794409105555,congress109
-10754.158892681833,0.20545601844787598,gradient,4373.910505048185,0.4067180472872328,congress109
-10765.926716436392,0.209089994430542,gradient,4352.529534086076,0.40428749412171344,congress109
-10777.425750221697,0.21258783340454102,gradient,4334.071593827117,0.4021434890180489,congress109
-10787.996431535863,0.21611690521240234,gradient,4288.0328391084695,0.3974818555346882,congress109
-10797.91541869871,0.21961402893066406,gradient,4238.450976209169,0.39252492836436365,congress109
-10807.433541631552,0.2232370376586914,gradient,4196.640804871569,0.38831058166636856,congress109
-10815.117224473732,0.22707295417785645,gradient,4171.67879674711,0.38572663709154625,congress109
-10822.341310604275,0.2305610179901123,gradient,4148.136314976595,0.3832937989963449,congress109
-10829.203648627401,0.23406291007995605,gradient,4108.318097272657,0.3793739808183758,congress109
-10835.940070705601,0.23759198188781738,gradient,4086.5874886198653,0.3771327140935138,congress109
-10841.973100388595,0.24175286293029785,gradient,4084.3328475454728,0.37671490324939866,congress109
-10847.785094246054,0.24576187133789062,gradient,4083.8042647485236,0.3764643408095058,congress109
-10853.53056072411,0.24932098388671875,gradient,4076.456481954903,0.3755880594934204,congress109
-10859.314346708064,0.2530088424682617,gradient,4069.0846755644397,0.3747091709153772,congress109
-10864.71071869471,0.25679588317871094,gradient,4079.9747971455326,0.3755253961916532,congress109
-10869.767982546207,0.26040101051330566,gradient,4095.884575478267,0.37681435170052446,congress109
-10874.590342156494,0.264070987701416,gradient,4103.111814423251,0.3773118513271352,congress109
-10879.273584970131,0.2677149772644043,gradient,4108.206144610014,0.37761768858221917,congress109
-10883.94371951027,0.2712869644165039,gradient,4110.010108989001,0.3776214040524214,congress109
-10888.684535932349,0.27507495880126953,gradient,4105.004554971902,0.3769972893810546,congress109
-10893.45471873953,0.2786219120025635,gradient,4097.462398927144,0.3761398477085933,congress109
-10898.055782657784,0.2822580337524414,gradient,4091.9607044366658,0.37547621209172516,congress109
-10902.628601637907,0.2859170436859131,gradient,4077.8522237766247,0.37402468457597526,congress109
-10907.209917596212,0.28978705406188965,gradient,4062.7811591640784,0.3724858318358519,congress109
-10911.747452091264,0.29320597648620605,gradient,4040.2110350560524,0.3702625132037615,congress109
-10916.236423670107,0.2969329357147217,gradient,4024.7032555095193,0.3686896380132072,congress109
-10920.674456532906,0.3008568286895752,gradient,4008.865830209372,0.36708958280605186,congress109
-10925.060384809505,0.3050858974456787,gradient,3991.7000886771075,0.3653709863450525,congress109
-10929.343112273864,0.30965399742126465,gradient,3977.9073609567604,0.3639658230227481,congress109
