p,n,time,reg,strategy,gaps,primals,it,s,relgaps,μ0
1000,500,3.0994415283203125e-5,0.05,newton,292.4723488727001,346.5735902799727,1,10,0.8438968146315824,$\mu_0 = 0.5$
1000,500,0.008332967758178711,0.05,newton,131.57333783802443,185.30267279667103,1,10,0.7100455479257833,$\mu_0 = 0.5$
1000,500,0.019704103469848633,0.05,newton,66.19860449056563,150.67360042227597,1,10,0.43935104958690996,$\mu_0 = 0.5$
1000,500,0.04182696342468262,0.05,newton,46.162400180384395,139.01005182552646,1,10,0.3320795839880953,$\mu_0 = 0.5$
1000,500,0.05057191848754883,0.05,newton,29.139321074908167,134.47265187730054,1,10,0.21669328795193477,$\mu_0 = 0.5$
1000,500,0.06238508224487305,0.05,newton,21.024252005507634,132.4250413320144,1,10,0.1587634166018185,$\mu_0 = 0.5$
1000,500,0.06911706924438477,0.05,newton,20.503312048451818,131.49735690726573,1,10,0.15592185676333492,$\mu_0 = 0.5$
1000,500,0.07706904411315918,0.05,newton,15.318194253672758,130.99215417399623,1,10,0.11693978429674251,$\mu_0 = 0.5$
1000,500,0.08400893211364746,0.05,newton,10.828895495441174,130.72415189167964,1,10,0.08283775674761454,$\mu_0 = 0.5$
1000,500,0.09155893325805664,0.05,newton,7.821617668508537,130.5596524776766,1,10,0.05990838302702971,$\mu_0 = 0.5$
1000,500,0.09821701049804688,0.05,newton,7.314824272603886,130.46163585121604,1,10,0.05606877627186908,$\mu_0 = 0.5$
1000,500,0.10570096969604492,0.05,newton,6.623562059204573,130.4007691405293,1,10,0.05079388797213722,$\mu_0 = 0.5$
1000,500,0.11374306678771973,0.05,newton,6.3536168642651205,130.36170274494586,1,10,0.048738369708901726,$\mu_0 = 0.5$
1000,500,0.12158608436584473,0.05,newton,5.9044327305013695,130.33566352833168,1,10,0.045301742981635224,$\mu_0 = 0.5$
1000,500,0.12880802154541016,0.05,newton,5.27046207202801,130.31766909113097,1,10,0.040443188623504184,$\mu_0 = 0.5$
1000,500,0.13564705848693848,0.05,newton,4.430720007623336,130.30511614283088,1,10,0.0340026557573281,$\mu_0 = 0.5$
1000,500,0.14188790321350098,0.05,newton,3.702687892513026,130.29638503350003,1,10,0.028417426097900118,$\mu_0 = 0.5$
1000,500,0.14829611778259277,0.05,newton,3.074368511485787,130.29028097898606,1,10,0.02359629965017604,$\mu_0 = 0.5$
1000,500,0.1546790599822998,0.05,newton,2.182983313222195,130.28610179207615,1,10,0.01675530454281319,$\mu_0 = 0.5$
1000,500,0.16093897819519043,0.05,newton,1.2843780626831176,130.2833356539048,1,10,0.00985834493902615,$\mu_0 = 0.5$
1000,500,0.16728806495666504,0.05,newton,0.9118823545206567,130.28140694935834,1,10,0.0069993284220143115,$\mu_0 = 0.5$
1000,500,0.17455506324768066,0.05,newton,0.7315219430219599,130.28005353014996,1,10,0.005614995720374555,$\mu_0 = 0.5$
1000,500,0.18342900276184082,0.05,newton,0.6302041635184708,130.27909923454706,1,10,0.004837338968577662,$\mu_0 = 0.5$
1000,500,0.1908409595489502,0.05,newton,0.5443637170772888,130.2784183765596,1,10,0.004178464275670341,$\mu_0 = 0.5$
1000,500,0.19842100143432617,0.05,newton,0.4619859249504543,130.27793134713198,1,10,0.0035461564378042663,$\mu_0 = 0.5$
1000,500,0.20598506927490234,0.05,newton,0.38954924213499,130.27758215088176,1,10,0.0029901479264777204,$\mu_0 = 0.5$
1000,500,0.21285390853881836,0.05,newton,0.3299773822761267,130.277331341084,1,10,0.002532884108688107,$\mu_0 = 0.5$
1000,500,0.21947598457336426,0.05,newton,0.2801982466198467,130.27715100639847,1,10,0.0021507858013112753,$\mu_0 = 0.5$
1000,500,0.2260749340057373,0.05,newton,0.23720945630694246,130.27702113528906,1,10,0.0018208081075219477,$\mu_0 = 0.5$
