Fstar,time,final_relgap,reg,primal_relgaps,amplitude,gaps,primals,dual_relgaps,it,pass,s,relgaps,p_K,passes,duals,strategy,dual_bound,reached_tol,dual_cert,K,p,n
146.3007024228878,2.3126602172851562e-5,2.2624498686733736e-6,0.05,Float64(1000),0.5,658.41825380803,804.7189562170558,Float64(1000),1,1,5,4.500444925444355,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.03228402137756348,2.2624498686733736e-6,0.05,Float64(1000),0.5,268.8540357507684,415.15473815979425,Float64(1000),1,2,5,1.8376810999419226,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.07236003875732422,2.2624498686733736e-6,0.05,Float64(1000),0.5,125.38519098881622,271.68589339784205,Float64(1000),1,3,5,0.8570375187016225,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.10922408103942871,2.2624498686733736e-6,0.05,Float64(1000),0.5,76.08244869446636,222.3831511034922,Float64(1000),1,4,5,0.5200415817180912,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.1340010166168213,2.2624498686733736e-6,0.05,Float64(1000),0.5,53.105061688261515,199.40576409728735,Float64(1000),1,5,5,0.362985691857851,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.14969110488891602,2.2624498686733736e-6,0.05,Float64(1000),0.5,40.2799528046601,186.58065521368593,Float64(1000),1,6,5,0.2753230308370588,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.1820080280303955,2.2624498686733736e-6,0.05,Float64(1000),0.5,32.20978687810711,178.51048928713294,Float64(1000),1,7,5,0.22016153268357852,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.1939380168914795,2.2624498686733736e-6,0.05,Float64(1000),0.5,26.685075658962774,172.9857780679886,Float64(1000),1,8,5,0.18239882117468265,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.20885992050170898,2.2624498686733736e-6,0.05,Float64(1000),0.5,22.716726719687017,169.01742912871285,Float64(1000),1,9,5,0.15527421497966185,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.22596001625061035,2.2624498686733736e-6,0.05,Float64(1000),0.5,19.729008173008538,166.02971058203437,Float64(1000),1,10,5,0.13485245009952912,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.24180197715759277,2.2624498686733736e-6,0.05,Float64(1000),0.5,17.408403085880053,163.70910549490588,Float64(1000),1,11,5,0.11899056393837669,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.25829601287841797,2.2624498686733736e-6,0.05,Float64(1000),0.5,15.556722144101713,161.85742455312754,Float64(1000),1,12,5,0.10633388552800252,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.2716691493988037,2.2624498686733736e-6,0.05,Float64(1000),0.5,14.053208677846698,160.35391108687253,Float64(1000),1,13,5,0.09605701438961897,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.28278112411499023,2.2624498686733736e-6,0.05,Float64(1000),0.5,12.815629828800724,159.11633223782655,Float64(1000),1,14,5,0.08759786943303015,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.2928781509399414,2.2624498686733736e-6,0.05,Float64(1000),0.5,11.7785004559573,158.07920286498313,Float64(1000),1,15,5,0.08050884418798682,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.33352208137512207,2.2624498686733736e-6,0.05,Float64(1000),0.5,10.898441814258916,157.19914422328475,Float64(1000),1,16,5,0.07449343464364615,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.344310998916626,2.2624498686733736e-6,0.05,Float64(1000),0.5,10.142456943055663,156.4431593520815,Float64(1000),1,17,5,0.06932609874789597,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.3581840991973877,2.2624498686733736e-6,0.05,Float64(1000),0.5,9.48894806988369,155.78965047890952,Float64(1000),1,18,5,0.06485921060348378,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.3718550205230713,2.2624498686733736e-6,0.05,Float64(1000),0.5,8.91714685145385,155.21784926047968,Float64(1000),1,19,5,0.06095081365828644,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.3846139907836914,2.2624498686733736e-6,0.05,Float64(1000),0.5,8.412274977979536,154.71297738700537,Float64(1000),1,20,5,0.05749989465985974,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.3972909450531006,2.2624498686733736e-6,0.05,Float64(1000),0.5,7.963871968787629,154.26457437781346,Float64(1000),1,21,5,0.05443495374183338,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.41077399253845215,2.2624498686733736e-6,0.05,Float64(1000),0.5,7.562859368480673,153.8635617775065,Float64(1000),1,22,5,0.051693937508378716,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.421083927154541,2.2624498686733736e-6,0.05,Float64(1000),0.5,7.201905317508164,153.502607726534,Float64(1000),1,23,5,0.04922673096053073,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
