p_K,amplitude,strategy,pass,relgaps,p_K_str,amp_str
0.05,0.5,Gradient,66,0.0026155420748445973,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,67,0.0025512888450844816,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,68,0.0024891259477094773,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,69,0.0024289674662764152,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,70,0.002370735803402687,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,71,0.002314336573019647,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,72,0.0022597067431322755,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,73,0.002206767222278406,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,74,0.0021554548175457796,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,75,0.002105698824994185,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,76,0.0020574404755946906,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,77,0.0020106166868971414,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,78,0.0019651724830522664,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,79,0.0019210536221195484,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,80,0.0018782070136073932,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,81,0.0018365838748433613,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,82,0.0017961394672190226,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,83,0.0017568259094995697,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,84,0.001718605876201611,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,85,0.0016814321307101975,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,86,0.0016452591759418,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,87,0.0016100599954095415,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,88,0.0015757939166708356,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,89,0.001542434023941262,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,90,0.0015099455149996449,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,91,0.001478298980418831,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,92,0.0014474627655154766,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,93,0.0014174126759804232,$\bar{p}_K = 0.05$,amp = 0.5
0.05,0.5,Gradient,94,0.0013881572591613162,$\bar{p}_K = 0.05$,amp = 0.5
