Fstar,primals,time,dual_relgaps,dual_cert,reg,strategy,gaps,relgaps
96.20631333153612,444.3563483685576,1.9073486328125e-5,Float64(611),7.000553467061771e-6,0.05,gradient,348.15003503702144,3.6187857426493752
96.20631333153612,230.8975931224395,0.3647019863128662,Float64(611),7.000553467061771e-6,0.05,gradient,134.69127979090337,1.400025373872756
96.20631333153612,156.8907957178468,0.493574857711792,Float64(611),7.000553467061771e-6,0.05,gradient,60.68448238631068,0.6307744292953641
96.20631333153612,139.89873321272,0.608098030090332,Float64(611),7.000553467061771e-6,0.05,gradient,43.69241988118388,0.4541533540591628
96.20631333153612,133.44265795011012,0.7172348499298096,Float64(611),7.000553467061771e-6,0.05,gradient,37.236344618573995,0.38704678860579556
96.20631333153612,129.5270783209097,0.8392069339752197,Float64(611),7.000553467061771e-6,0.05,gradient,33.320764989373586,0.3463469686708299
96.20631333153612,126.71867698690244,0.9490799903869629,Float64(611),7.000553467061771e-6,0.05,gradient,30.512363655366315,0.3171555233617341
96.20631333153612,124.75718908030936,1.0570330619812012,Float64(611),7.000553467061771e-6,0.05,gradient,28.550875748773237,0.29676717421219745
96.20631333153612,123.21860189530105,1.1614680290222168,Float64(611),7.000553467061771e-6,0.05,gradient,27.012288563764926,0.2807745939778194
96.20631333153612,121.92847276629008,1.2743070125579834,Float64(611),7.000553467061771e-6,0.05,gradient,25.722159434753962,0.2673645683325683
96.20631333153612,120.68045842413045,1.3868169784545898,Float64(611),7.000553467061771e-6,0.05,gradient,24.474145092594327,0.254392297605814
96.20631333153612,119.53356746861158,1.5072729587554932,Float64(611),7.000553467061771e-6,0.05,gradient,23.327254137075457,0.2424711365530401
96.20631333153612,118.50696165549775,1.6295900344848633,Float64(611),7.000553467061771e-6,0.05,gradient,22.300648323961624,0.2318002587534091
96.20631333153612,117.60186860477717,1.7514169216156006,Float64(611),7.000553467061771e-6,0.05,gradient,21.395555273241044,0.2223924244920385
96.20631333153612,116.80139697768158,1.8590319156646729,Float64(611),7.000553467061771e-6,0.05,gradient,20.595083646145454,0.21407205964927514
96.20631333153612,116.07094335311204,1.972424030303955,Float64(611),7.000553467061771e-6,0.05,gradient,19.86463002157592,0.20647948490782006
96.20631333153612,115.38109778657522,2.0916969776153564,Float64(611),7.000553467061771e-6,0.05,gradient,19.174784455039102,0.19930900365094512
96.20631333153612,114.74472402741247,2.2010538578033447,Float64(611),7.000553467061771e-6,0.05,gradient,18.53841069587635,0.19269432591176444
96.20631333153612,114.15815659480542,2.314969062805176,Float64(611),7.000553467061771e-6,0.05,gradient,17.951843263269296,0.18659735147947654
96.20631333153612,113.6102446296913,2.426650047302246,Float64(611),7.000553467061771e-6,0.05,gradient,17.40393129815517,0.18090217466477035
96.20631333153612,113.09692049912391,2.5395240783691406,Float64(611),7.000553467061771e-6,0.05,gradient,16.89060716758779,0.17556651515562338
96.20631333153612,112.61105115074471,2.6559648513793945,Float64(611),7.000553467061771e-6,0.05,gradient,16.40473781920859,0.17051622966443275
96.20631333153612,112.14940785464111,2.7706480026245117,Float64(611),7.000553467061771e-6,0.05,gradient,15.943094523104989,0.16571775771267283
96.20631333153612,111.70633774844478,2.881779909133911,Float64(611),7.000553467061771e-6,0.05,gradient,15.500024416908659,0.16111234159336402
96.20631333153612,111.27940575363215,2.995771884918213,Float64(611),7.000553467061771e-6,0.05,gradient,15.073092422096025,0.15667467030103016
96.20631333153612,110.86702354264389,3.1130359172821045,Float64(611),7.000553467061771e-6,0.05,gradient,14.66071021110777,0.1523882342376593
96.20631333153612,110.46960567728442,3.221540927886963,Float64(611),7.000553467061771e-6,0.05,gradient,14.263292345748297,0.14825734249472416
96.20631333153612,110.08405011455329,3.3399720191955566,Float64(611),7.000553467061771e-6,0.05,gradient,13.87773678301717,0.14424975141904842
96.20631333153612,109.71036971671174,3.4500648975372314,Float64(611),7.000553467061771e-6,0.05,gradient,13.504056385175616,0.14036559470519727
96.20631333153612,109.34839081751613,3.563431978225708,Float64(611),7.000553467061771e-6,0.05,gradient,13.14207748598001,0.13660306720922938
