p_K,amplitude,strategy,pass,relgaps,p_K_str,amp_str
0.05,0.5,gradient,63,0.0028218298499993596,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,64,0.0027507209935401923,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,65,0.0026819880415815335,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,66,0.0026155420748445973,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,67,0.0025512888450844816,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,68,0.0024891259477094773,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,69,0.0024289674662764152,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,70,0.002370735803402687,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,71,0.002314336573019647,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,72,0.0022597067431322755,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,73,0.002206767222278406,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,74,0.0021554548175457796,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,75,0.002105698824994185,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,76,0.0020574404755946906,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,77,0.0020106166868971414,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,78,0.0019651724830522664,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,79,0.0019210536221195484,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,80,0.0018782070136073932,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,81,0.0018365838748433613,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,82,0.0017961394672190226,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,83,0.0017568259094995697,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,84,0.001718605876201611,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,85,0.0016814321307101975,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,86,0.0016452591759418,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,87,0.0016100599954095415,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,88,0.0015757939166708356,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,89,0.001542434023941262,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,90,0.0015099455149996449,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,91,0.001478298980418831,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,92,0.0014474627655154766,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,93,0.0014174126759804232,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,94,0.0013881572591613162,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,95,0.0013596530357371079,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,96,0.00133187239597277,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,97,0.0013047869129553956,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,98,0.0012783773118712218,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,99,0.0012526195620618532,$\pi_K = 0.05$,amp = 0.5
0.05,0.5,gradient,100,0.0012274933109119753,$\pi_K = 0.05$,amp = 0.5
0.005,2.0,exact,901,0.5717958632513382,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,902,0.571795863251338,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,903,0.5717958632513372,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,904,0.5717958632513368,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,905,0.5717958632513364,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,906,0.5717958632513358,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,907,0.5717958632513356,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,908,0.5717958632513352,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,909,0.5717958632513346,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,910,0.5717958632513342,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,911,0.5717958632513332,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,912,0.5717958632513328,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,913,0.5717958632513324,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,914,0.571795863251332,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,915,0.5717958632513316,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,916,0.5717958632513311,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,917,0.5717958632513306,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,918,0.5717958632513304,$\pi_K = 0.005$,amp = 2.0
