commit,cell_id,cell_name,mu0,reg,seed,n,p,lambda_,n_iter,stop_crit,primal,runtime,converged,intercept,strategy
8f9cbd77,56,cell_056,0.99,0.2,2,500,1000,0.012471014989937822,10,8.855067182983456e-10,0.22909500176144293,0.058635204999518464,true,3.0548398220329984,newton
8f9cbd77,57,cell_057,0.99,0.1,2,500,1000,0.006235507494968911,13,4.540671717963296e-9,0.15341868128468097,0.17810455300059402,true,3.8794409229036213,newton
8f9cbd77,58,cell_058,0.99,0.05,2,500,1000,0.0031177537474844554,12,7.710833643901488e-9,0.09601041885898917,0.26325458500105015,true,4.7772876845851275,newton
8f9cbd77,59,cell_059,0.99,0.02,2,500,1000,0.0012471014989937823,14,4.170733472778562e-9,0.048547006404953325,0.6493661199983762,true,5.972323611531184,newton
8f9cbd77,60,cell_060,0.99,0.01,2,500,1000,0.0006235507494968912,14,9.620172432322008e-9,0.028096801139986013,2.0456959160001134,true,6.8668642796419155,newton
8f9cbd77,61,cell_061,0.5,0.5,3,500,1000,0.07933977874552962,8,3.921075061863455e-9,0.6616704410372767,0.02044569800091267,true,0.008362828205288626,newton
8f9cbd77,62,cell_062,0.5,0.2,3,500,1000,0.03173591149821185,5,1.9641893528321575e-9,0.5298406427409363,0.01846416400076123,true,0.00981795689692495,newton
8f9cbd77,63,cell_063,0.5,0.1,3,500,1000,0.015867955749105926,9,4.044940458969304e-10,0.41027655518763506,0.05327147400021204,true,0.009067205422828569,newton
8f9cbd77,64,cell_064,0.5,0.05,3,500,1000,0.007933977874552963,13,9.289023427186405e-9,0.28775210649554805,0.18167795200133696,true,0.017508100246776525,newton
8f9cbd77,65,cell_065,0.5,0.02,3,500,1000,0.003173591149821185,15,3.9493803032607244e-9,0.15962238964061878,0.6523918879993289,true,0.03087414864978268,newton
8f9cbd77,66,cell_066,0.5,0.01,3,500,1000,0.0015867955749105924,17,3.170156588627737e-9,0.09651186054149044,1.4206112279989611,true,0.04668980816740625,newton
8f9cbd77,67,cell_067,0.7,0.5,3,500,1000,0.06956918221601245,2,3.8620731612759585e-11,0.6261924832497427,0.008331496999744559,true,0.496714839238134,newton
8f9cbd77,68,cell_068,0.7,0.2,3,500,1000,0.027827672886404982,5,7.2748632291841364e-9,0.49060907155606875,0.019317804999445798,true,0.6656709820820599,newton
8f9cbd77,69,cell_069,0.7,0.1,3,500,1000,0.013913836443202491,9,2.3849725666602595e-10,0.3700542607571877,0.05366227400008938,true,0.8564517664558324,newton
8f9cbd77,70,cell_070,0.7,0.05,3,500,1000,0.0069569182216012455,13,4.352996101596174e-9,0.2536558256457634,0.1608643679992383,true,1.11050026051011,newton
8f9cbd77,71,cell_071,0.7,0.02,3,500,1000,0.002782767288640498,13,3.761405267983797e-9,0.13816096121891855,0.4657676150000043,true,1.5139964088948545,newton
8f9cbd77,72,cell_072,0.7,0.01,3,500,1000,0.001391383644320249,17,1.849517241832646e-9,0.08286607738616236,0.7169667420002952,true,1.834821467518765,newton
