problem,tol,n_iter,primal,runtime,subopt
news20-3pct,0.1,3,0.5333461664918618,0.2554788689999441,0.4834781951073179
news20-3pct,0.0562341325190349,14,0.2790826376638212,1.1269603030000326,0.22921466627927722
news20-3pct,0.0316227766016838,30,0.16891172817315103,2.4986539129999983,0.11904375678860707
news20-3pct,0.0177827941003892,55,0.11331373304603051,4.447053895000067,0.06344576166148655
news20-3pct,0.01,98,0.0826644518632072,7.58003256500001,0.03279648047866324
news20-3pct,0.0056234132519035,170,0.06641458204202574,12.618483962000028,0.01654661065748178
news20-3pct,0.0031622776601684,289,0.05783516615319008,20.265017725999996,0.007967194768646116
news20-3pct,0.0017782794100389,480,0.05343224455407748,32.23998473900008,0.003564273169533519
news20-3pct,0.001,770,0.05129980464824496,50.6997494850001,0.001431833263700999
news20-3pct,0.0005623413251903,1175,0.05035018643011517,74.14160974499998,0.00048221504557120765
news20-3pct,0.0003162277660168,1694,0.049961277982191604,105.89235980199999,9.330659764764104e-5
news20-3pct,0.0001778279410039,2000,0.04986797138454396,121.87822272999995,1.0e-15
news20-3pct,0.0001,2000,0.04986797138454396,123.32858208799996,1.0e-15
news20-3pct,5.6234132519e-5,2000,0.04986797138454396,123.02337077100015,1.0e-15
news20-3pct,3.16227766017e-5,2000,0.04986797138454396,122.79582521999987,1.0e-15
news20-3pct,1.77827941004e-5,2000,0.04986797138454396,122.36091196000007,1.0e-15
news20-3pct,1.0e-5,2000,0.04986797138454396,124.59818340200013,1.0e-15
news20-3pct,5.6234132519e-6,2000,0.04986797138454396,122.35058108000021,1.0e-15
news20-3pct,3.1622776602e-6,2000,0.04986797138454396,123.431059495,1.0e-15
news20-3pct,1.77827941e-6,2000,0.04986797138454396,128.00025362700012,1.0e-15
news20-3pct,1.0e-6,2000,0.04986797138454396,128.15540605000024,1.0e-15
news20-3pct,5.623413252e-7,2000,0.04986797138454396,126.1273979319999,1.0e-15
news20-3pct,3.16227766e-7,2000,0.04986797138454396,126.74097798799994,1.0e-15
news20-3pct,1.77827941e-7,2000,0.04986797138454396,126.62723684899993,1.0e-15
news20-3pct,1.0e-7,2000,0.04986797138454396,128.13745939499995,1.0e-15
synthetic,0.0562341325190349,8,0.3462327902206973,0.660109503000001,0.22906300369750154
synthetic,0.0316227766016838,24,0.23416829578397905,0.14483158000001595,0.11699850926078328
synthetic,0.0177827941003892,49,0.17614274808524943,0.29352607300000955,0.05897296156205367
synthetic,0.01,89,0.14667734497145585,0.5301875969999799,0.029507558448260085
synthetic,0.0056234132519035,153,0.13156490798518494,0.8618982520000031,0.01439512146198918
synthetic,0.0031622776601684,246,0.12372986076281892,1.3015077120000171,0.006560074239623154
synthetic,0.0017782794100389,406,0.11981402188022637,2.0437611890000085,0.002644235357030608
synthetic,0.001,617,0.11816203167508979,3.008853608999999,0.0009922451518940278
synthetic,0.0005623413251903,843,0.11751913749181239,3.9148319870000137,0.0003493509686166296
synthetic,0.0003162277660168,978,0.11728913711968339,4.4588997449999965,0.00011935059648762736
synthetic,0.0001778279410039,1012,0.11720944448179217,4.639456332000009,3.965795859640908e-5
