problem,tol,n_iter,primal,runtime
synthetic,0.1,0,0.6931471805599454,1.839085367000024
synthetic,0.0562341325190349,8,0.3462327902206973,0.660109503000001
synthetic,0.0316227766016838,24,0.23416829578397905,0.14483158000001595
synthetic,0.0177827941003892,49,0.17614274808524943,0.29352607300000955
synthetic,0.01,89,0.14667734497145585,0.5301875969999799
synthetic,0.0056234132519035,153,0.13156490798518494,0.8618982520000031
synthetic,0.0031622776601684,246,0.12372986076281892,1.3015077120000171
synthetic,0.0017782794100389,406,0.11981402188022637,2.0437611890000085
synthetic,0.001,617,0.11816203167508979,3.008853608999999
synthetic,0.0005623413251903,843,0.11751913749181239,3.9148319870000137
synthetic,0.0003162277660168,978,0.11728913711968339,4.4588997449999965
synthetic,0.0001778279410039,1012,0.11720944448179217,4.639456332000009
synthetic,0.0001,1225,0.11718245921728257,5.501283061999999
synthetic,5.6234132519e-5,1117,0.11717382545238639,5.098489174000008
synthetic,3.16227766017e-5,1463,0.11717106675945926,6.642429901000014
synthetic,1.77827941004e-5,1453,0.11717019410294242,6.731657421000023
synthetic,1.0e-5,1549,0.117169915901081,7.399571637999998
synthetic,5.6234132519e-6,1540,0.11716982749714899,8.819398514
synthetic,3.1622776602e-6,1572,0.117169799472431,9.466020361999995
synthetic,1.77827941e-6,1030,0.1171697906206221,7.233343299000012
synthetic,1.0e-6,1239,0.11716978780813751,8.227153459999982
synthetic,5.623413252e-7,1500,0.11716978692091237,9.347267093999989
synthetic,3.16227766e-7,1487,0.11716978663993184,9.423797132000004
synthetic,1.77827941e-7,1476,0.1171697865513148,9.44843982599997
synthetic,1.0e-7,1478,0.11716978652319576,9.52345143499997
w1a,0.1,2,0.5521405767570615,0.01671996099997841
w1a,0.0562341325190349,10,0.3019698575745602,0.09427723600003901
w1a,0.0316227766016838,21,0.20941537687036108,0.2157523999999853
w1a,0.0177827941003892,44,0.15400635454452077,0.4536597730000267
w1a,0.01,77,0.11279642883217192,0.7967630969999959
w1a,0.0056234132519035,171,0.08288282634644772,1.6807338510000136
w1a,0.0031622776601684,171,0.06895469072910532,1.9109276550000232
w1a,0.0017782794100389,290,0.06587699616490433,3.0254150000000095
w1a,0.001,460,0.06436022368166536,4.622569547000012
w1a,0.0005623413251903,560,0.06374227411239,6.3814500859999725
w1a,0.0003162277660168,872,0.06350693038950346,9.306145241000024
w1a,0.0001778279410039,1221,0.06342304561575529,12.978811860999997
w1a,0.0001,1518,0.06339457791773595,15.021485477999988
w1a,5.6234132519e-5,1614,0.06338518926875959,16.163147061000018
w1a,3.16227766017e-5,1857,0.06338213952896063,18.51586018300003
w1a,1.77827941004e-5,1893,0.06338116385859463,19.066466366999975
w1a,1.0e-5,1980,0.06338085165111015,20.099782572000038
w1a,5.6234132519e-6,1952,0.0633807525048958,20.51765671100003
w1a,3.1622776602e-6,1720,0.06338072114182738,18.32874697899996
w1a,1.77827941e-6,1547,0.06338071120249039,16.743008082000017
w1a,1.0e-6,1880,0.06338070805522934,20.064322597
w1a,5.623413252e-7,2000,0.06338070714844332,21.636727768000014
w1a,3.16227766e-7,1869,0.06338070674508078,20.371786828999973
w1a,1.77827941e-7,1957,0.06338070664529472,22.264542487000085
w1a,1.0e-7,1987,0.06338070661382122,21.680642198999976
news20-3pct,0.1,3,0.5333461664918618,0.2554788689999441
news20-3pct,0.0562341325190349,14,0.2790826376638212,1.1269603030000326
news20-3pct,0.0316227766016838,30,0.16891172817315103,2.4986539129999983
news20-3pct,0.0177827941003892,55,0.11331373304603051,4.447053895000067
news20-3pct,0.01,98,0.0826644518632072,7.58003256500001
news20-3pct,0.0056234132519035,170,0.06641458204202574,12.618483962000028
news20-3pct,0.0031622776601684,289,0.05783516615319008,20.265017725999996
news20-3pct,0.0017782794100389,480,0.05343224455407748,32.23998473900008
news20-3pct,0.001,770,0.05129980464824496,50.6997494850001
news20-3pct,0.0005623413251903,1175,0.05035018643011517,74.14160974499998
news20-3pct,0.0003162277660168,1694,0.049961277982191604,105.89235980199999
news20-3pct,0.0001778279410039,2000,0.04986797138454396,121.87822272999995
news20-3pct,0.0001,2000,0.04986797138454396,123.32858208799996
news20-3pct,5.6234132519e-5,2000,0.04986797138454396,123.02337077100015
news20-3pct,3.16227766017e-5,2000,0.04986797138454396,122.79582521999987
news20-3pct,1.77827941004e-5,2000,0.04986797138454396,122.36091196000007
news20-3pct,1.0e-5,2000,0.04986797138454396,124.59818340200013
news20-3pct,5.6234132519e-6,2000,0.04986797138454396,122.35058108000021
news20-3pct,3.1622776602e-6,2000,0.04986797138454396,123.431059495
news20-3pct,1.77827941e-6,2000,0.04986797138454396,128.00025362700012
news20-3pct,1.0e-6,2000,0.04986797138454396,128.15540605000024
news20-3pct,5.623413252e-7,2000,0.04986797138454396,126.1273979319999
news20-3pct,3.16227766e-7,2000,0.04986797138454396,126.74097798799994
news20-3pct,1.77827941e-7,2000,0.04986797138454396,126.62723684899993
news20-3pct,1.0e-7,2000,0.04986797138454396,128.13745939499995
