problem,type,thresh,npasses,primal,final_lambda,runtime,jerr,subopt,mode
synthetic,Newton,0.1,50,0.117413921714809,0.00374562643338918,0.155,0,0.0002441352043389966,Newton
synthetic,Newton,0.0316227766016838,50,0.117413921714809,0.00374562643338918,0.0189999999999999,0,0.0002441352043389966,Newton
synthetic,Newton,0.01,50,0.117413921714809,0.00374562643338918,0.016,0,0.0002441352043389966,Newton
synthetic,Newton,0.00316227766016838,50,0.117413921714809,0.00374562643338918,0.0170000000000001,0,0.0002441352043389966,Newton
synthetic,Newton,0.001,50,0.117413921714809,0.00374562643338918,0.022,0,0.0002441352043389966,Newton
synthetic,Newton,0.000316227766016838,119,0.117270180114136,0.00374562643338918,0.0149999999999999,0,0.00010039360366599637,Newton
synthetic,Newton,0.0001,197,0.117177967783335,0.00374562643338918,0.0189999999999999,0,8.181272865004363e-6,Newton
synthetic,Newton,3.16227766016838e-5,205,0.11717797241176,0.00374562643338918,0.0250000000000001,0,8.185901290008735e-6,Newton
synthetic,Newton,1.0e-5,256,0.117171866448368,0.00374562643338918,0.0170000000000001,0,2.0799378979974303e-6,Newton
synthetic,Newton,3.16227766016838e-6,293,0.117170932299362,0.00374562643338918,0.018,0,1.1457888920013426e-6,Newton
synthetic,Newton,1.0e-6,358,0.11717019342709,0.00374562643338918,0.0270000000000001,0,4.06916619996589e-7,Newton
synthetic,Newton,3.16227766016838e-7,492,0.117169961409901,0.00374562643338918,0.0249999999999999,0,1.7489943100745808e-7,Newton
synthetic,Newton,1.0e-7,585,0.117169813869225,0.00374562643338918,0.026,0,2.7358754997597323e-8,Newton
synthetic,Newton,3.16227766016838e-8,690,0.117169800370734,0.00374562643338918,0.036,0,1.386026400596041e-8,Newton
synthetic,Newton,1.0e-8,782,0.117169792218565,0.00374562643338918,0.0329999999999999,0,5.708094996670354e-9,Newton
synthetic,Newton,3.16227766016838e-9,885,0.117169787911979,0.00374562643338918,0.0409999999999999,0,1.4015090060714996e-9,Newton
