primals,time,reg,strategy,gaps,dataset,relgaps
1716.9255662469845,0.0033190250396728516,0.05,gradient,1676.6111739200821,w1a,0.976519429193995
650.5587742265277,0.06939291954040527,0.05,gradient,607.7531395314764,w1a,0.9342017410403166
551.9079302258694,0.08699607849121094,0.05,gradient,473.0412673027083,w1a,0.8571017762131361
500.30011372247213,0.10302495956420898,0.05,gradient,421.4200749753602,w1a,0.8423345576314051
473.41556543259867,0.32981204986572266,0.05,gradient,402.4758053256613,w1a,0.8501533002149732
446.80843019091037,0.35808801651000977,0.05,gradient,376.4800796831853,w1a,0.8425984252855849
420.3537164361258,0.37599706649780273,0.05,gradient,347.8936664997866,w1a,0.8276212458624718
393.9451737155513,0.3930540084838867,0.05,gradient,318.9885930701164,w1a,0.8097283945923973
367.5456736042781,0.40984201431274414,0.05,gradient,291.58384243067417,w1a,0.7933268254018709
339.9887047578723,0.4247410297393799,0.05,gradient,264.82882851605746,w1a,0.7789341963717853
312.1954385232279,0.43844103813171387,0.05,gradient,237.33812524417903,w1a,0.7602229115417414
284.3060824983417,0.4516780376434326,0.05,gradient,209.54964324781244,w1a,0.7370564899856995
255.29116788633735,0.46611595153808594,0.05,gradient,183.2311992048232,w1a,0.717734188463593
232.99428704330802,0.48299098014831543,0.05,gradient,148.725771115967,w1a,0.6383236816803258
216.3598742128674,0.497967004776001,0.05,gradient,125.84684197146318,w1a,0.5816551818090251
204.19440859909398,0.5121331214904785,0.05,gradient,112.36993799248722,w1a,0.5503085944586722
195.4482087671524,0.5262711048126221,0.05,gradient,99.8252584070166,w1a,0.5107504388845211
189.32571553103162,0.540247917175293,0.05,gradient,91.71534434339787,w1a,0.48443152102264303
184.57585181446552,0.5539491176605225,0.05,gradient,84.22372080460897,w1a,0.45630953332546514
180.80218034499023,0.5677690505981445,0.05,gradient,77.54744523076782,w1a,0.42890768840729054
177.74578397848222,0.5817430019378662,0.05,gradient,71.67560304365185,w1a,0.4032478376664554
175.23046866701486,0.595487117767334,0.05,gradient,66.47272063466966,w1a,0.3793445348878553
173.13185000221245,0.6091151237487793,0.05,gradient,61.86539164979898,w1a,0.3573310840784547
171.35993395998392,0.6227290630340576,0.05,gradient,57.78881774798462,w1a,0.3372364613625464
169.84863337721063,0.6366009712219238,0.05,gradient,54.12505008488992,w1a,0.31866638552625604
