alpha,block_newton_rate,cyclic_log_rate_ratio,mu0,random_newton_log_rate,cyclic_gradient_radius,random_gradient_log_rate,rho,active_size,block_gradient_rate,block_log_rate_ratio,mean_log_rate_ratio,L0_over_H00,mean_newton_radius,kappa,mean_gradient_radius,random_log_rate_ratio,cyclic_newton_radius,q
0.3,0.9737343901878545,8.622910388897226,0.5,-0.026504520450553595,0.9938126679686728,-0.005614997493440935,0.2,176,0.9943987657876507,4.738616263879249,4.714480291366209,4.689253978031638,0.973883605484063,0.9737343901878545,0.9944024901348627,4.7203085097570225,0.9478883580441365,0.2132535377023362
0.3,0.9702403119835197,15.939021501639733,0.7,-0.030177744967583117,0.9943468205931175,-0.005246591310771785,0.2,144,0.9947690607963342,5.760420140343498,5.74271292129593,5.689167252340648,0.9703295906652968,0.9702403119835197,0.9947689125790435,5.751876443210879,0.9136005800254436,0.17577264925522765
0.3,0.9701129664406006,26.145220738344598,0.9,-0.029377984523222475,0.9965070341637805,-0.0033355874703467282,0.2,137,0.9966609325538484,9.072014272251527,8.819455700379436,8.950712748808053,0.9710056633172205,0.9701129664406006,0.9966694142895249,8.807439404420322,0.9125757058560204,0.1117229463243771
0.3,0.9676671293154494,30.772209929929694,0.95,-0.032889082380053364,0.9981283096182866,-0.001830918416844138,0.2,112,0.9981711668598954,17.955198527837158,17.97971740869386,17.679508302600706,0.9676147029141593,0.9676671293154494,0.9981706506892556,17.963161043921673,0.9439802660269856,0.05656265903350362
0.0,0.4072100365662551,0.9827586975956983,0.5,-0.10325822557049837,0.8629403123298514,-0.10306927035739914,0.6,173,0.8199356852018002,4.525406724542213,1.0018370703449453,3.292101292241561,0.9018538761492231,0.4072100365662551,0.9020247273259089,1.001833283697886,0.8651362957184965,0.3037573607946642
0.1,0.8102117500207809,2.39833848990063,0.5,-0.10176407598461547,0.9412454337319631,-0.056204260400725736,0.6,173,0.9423504220765823,3.544399906826506,1.810842211784297,3.292101292247721,0.9032031683665978,0.8102117500207809,0.9453299869389409,1.8106114244553149,0.8648297293542185,0.3037573607940958
0.2,0.9368822368391829,5.936291283274584,0.5,-0.06373290577016023,0.9785108722105138,-0.019368160540053442,0.6,173,0.9808275148430514,3.367882036874562,3.292982699655585,3.2921012922490966,0.9381972642946628,0.9368822368391829,0.9808134222440666,3.290601894710667,0.8790123617968844,0.30375736079396887
0.3,0.970068885876749,7.883615125043699,0.5,-0.03030019733119451,0.9895166970156188,-0.009136563716270639,0.6,173,0.9909082037683241,3.3271579072412147,3.315639822885293,3.292101292258479,0.9701633321471713,0.970068885876749,0.9909058597041407,3.3163668827958923,0.9202751470129198,0.30375736079310317
0.0,0.7344981587939459,2.920831430346518,0.9,-0.08552463195403281,0.9555726586519083,-0.043587014294418684,0.6,147,0.9548074201849863,6.672368890404327,1.9611755089536154,5.874898983258539,0.918066049808721,0.7344981587939459,0.9573472184866028,1.9621585313537808,0.875696549439199,0.17021569270376552
0.1,0.8820192623117292,5.472046904832808,0.9,-0.07810157019068278,0.9796060684428856,-0.01969891152650892,0.6,147,0.9799178270083441,6.188401520764873,3.9678337249540254,5.874898983157405,0.9248119038410595,0.8820192623117292,0.9804931266919993,3.9647657732550923,0.8933737896119907,0.1702156927066957
0.2,0.9550708131388982,10.149757023543343,0.9,-0.04237884599194639,0.9919073137242826,-0.007615989258434125,0.6,147,0.9923523473356425,5.987953162301798,5.554963836552088,5.874898983121648,0.9585865723323902,0.9550708131388982,0.9924149299913334,5.564457164250207,0.9208363321271631,0.1702156927077317
0.3,0.9778321200865316,13.949449592912584,0.9,-0.021662461049042788,0.995944039817269,-0.0037635962623529013,0.6,147,0.9962266789647046,5.929778934904841,5.746194407328949,5.874898983179883,0.9786115177939851,0.9778321200865316,0.9962444871418037,5.7557876932048995,0.9448836665807105,0.17021569270604445
