primals,time,randomize,reg,strategy,gaps,ordering,dataset,relgaps
1716.9255662469845,0.002997159957885742,false,0.05,gradient,1676.6111739200821,cyclic,w1a,0.976519429193995
650.5587742265277,0.1995220184326172,false,0.05,gradient,607.7531395314764,cyclic,w1a,0.9342017410403166
551.9079302258694,0.22579002380371094,false,0.05,gradient,473.0412673027083,cyclic,w1a,0.8571017762131361
500.30011372247213,0.24241900444030762,false,0.05,gradient,421.4200749753602,cyclic,w1a,0.8423345576314051
473.41556543259867,0.25846409797668457,false,0.05,gradient,402.4758053256613,cyclic,w1a,0.8501533002149732
446.80843019091037,0.27272510528564453,false,0.05,gradient,376.4800796831853,cyclic,w1a,0.8425984252855849
420.3537164361258,0.28627610206604004,false,0.05,gradient,347.8936664997866,cyclic,w1a,0.8276212458624718
393.9451737155513,0.29954099655151367,false,0.05,gradient,318.9885930701164,cyclic,w1a,0.8097283945923973
367.5456736042781,0.3130061626434326,false,0.05,gradient,291.58384243067417,cyclic,w1a,0.7933268254018709
339.9887047578723,0.3263390064239502,false,0.05,gradient,264.82882851605746,cyclic,w1a,0.7789341963717853
312.1954385232279,0.33989500999450684,false,0.05,gradient,237.33812524417903,cyclic,w1a,0.7602229115417414
284.3060824983417,0.35324597358703613,false,0.05,gradient,209.54964324781244,cyclic,w1a,0.7370564899856995
255.29116788633735,0.36650800704956055,false,0.05,gradient,183.2311992048232,cyclic,w1a,0.717734188463593
232.99428704330802,0.3799281120300293,false,0.05,gradient,148.725771115967,cyclic,w1a,0.6383236816803258
216.3598742128674,0.39355897903442383,false,0.05,gradient,125.84684197146318,cyclic,w1a,0.5816551818090251
204.19440859909398,0.4073050022125244,false,0.05,gradient,112.36993799248722,cyclic,w1a,0.5503085944586722
195.4482087671524,0.4214041233062744,false,0.05,gradient,99.8252584070166,cyclic,w1a,0.5107504388845211
189.32571553103162,0.435697078704834,false,0.05,gradient,91.71534434339787,cyclic,w1a,0.48443152102264303
184.57585181446552,0.44996213912963867,false,0.05,gradient,84.22372080460897,cyclic,w1a,0.45630953332546514
180.80218034499023,0.464130163192749,false,0.05,gradient,77.54744523076782,cyclic,w1a,0.42890768840729054
177.74578397848222,0.4783000946044922,false,0.05,gradient,71.67560304365185,cyclic,w1a,0.4032478376664554
175.23046866701486,0.4922981262207031,false,0.05,gradient,66.47272063466966,cyclic,w1a,0.3793445348878553
173.13185000221245,0.5063321590423584,false,0.05,gradient,61.86539164979898,cyclic,w1a,0.3573310840784547
171.35993395998392,0.5200769901275635,false,0.05,gradient,57.78881774798462,cyclic,w1a,0.3372364613625464
169.84863337721063,0.5339529514312744,false,0.05,gradient,54.12505008488992,cyclic,w1a,0.31866638552625604
168.54849309262795,0.548192024230957,false,0.05,gradient,50.74857365210667,cyclic,w1a,0.3010918265772756
167.42142449929463,0.5617761611938477,false,0.05,gradient,47.65927039212919,cyclic,w1a,0.2846664967441487
166.43773603494918,0.5756261348724365,false,0.05,gradient,44.82328295663169,cyclic,w1a,0.26930961706436296
165.5742235620535,0.5894970893859863,false,0.05,gradient,42.06244903640385,cyclic,w1a,0.2540398386385293
164.81228585900215,0.6031451225280762,false,0.05,gradient,39.53235272259765,cyclic,w1a,0.2398628992769253
164.13675967393345,0.7788331508636475,false,0.05,gradient,37.22832997917706,cyclic,w1a,0.22681287271134845
