p,n,time,reg,strategy,gaps,primals,it,s,relgaps,μ0
1000,500,4.100799560546875e-5,0.05,gradient,292.4723488727001,346.5735902799727,1,10,0.8438968146315824,$\mu_0 = 0.5$
1000,500,0.02198195457458496,0.05,gradient,145.79276191907098,191.2235736408402,1,10,0.7624204440029019,$\mu_0 = 0.5$
1000,500,0.04397392272949219,0.05,gradient,98.56926773618949,155.26549516033032,1,10,0.6348433541812033,$\mu_0 = 0.5$
1000,500,0.0709829330444336,0.05,gradient,63.90901733837299,142.62029258484904,1,10,0.448106059664347,$\mu_0 = 0.5$
1000,500,0.16197705268859863,0.05,gradient,59.58168991475878,137.46002449183962,1,10,0.4334473977799697,$\mu_0 = 0.5$
1000,500,0.2159740924835205,0.05,gradient,45.95045389548724,134.61385296035573,1,10,0.34135011282248806,$\mu_0 = 0.5$
1000,500,0.25298404693603516,0.05,gradient,29.356125895398876,133.10663986290194,1,10,0.22054591660968448,$\mu_0 = 0.5$
1000,500,0.45998096466064453,0.05,gradient,25.07129008593111,132.17603134662778,1,10,0.18968106267453577,$\mu_0 = 0.5$
1000,500,0.4749770164489746,0.05,gradient,24.355736862606364,131.61512033393208,1,10,0.18505272647102644,$\mu_0 = 0.5$
1000,500,0.4869680404663086,0.05,gradient,21.73591669662406,131.24296585998295,1,10,0.16561586028018527,$\mu_0 = 0.5$
1000,500,0.5059890747070312,0.05,gradient,18.592144152538793,130.972743195616,1,10,0.14195430055832503,$\mu_0 = 0.5$
1000,500,0.5239789485931396,0.05,gradient,10.030739353634772,130.79394810017035,1,10,0.07669115811040883,$\mu_0 = 0.5$
1000,500,0.5369751453399658,0.05,gradient,8.419228103443743,130.65732663361132,1,10,0.06443747411925015,$\mu_0 = 0.5$
1000,500,0.5499730110168457,0.05,gradient,11.975915752211591,130.56379128749455,1,10,0.09172463233578489,$\mu_0 = 0.5$
1000,500,0.5659661293029785,0.05,gradient,10.467741836155824,130.4898086969152,1,10,0.08021884575268969,$\mu_0 = 0.5$
1000,500,0.579962968826294,0.05,gradient,7.906029873898731,130.43961363475586,1,10,0.0606106508106994,$\mu_0 = 0.5$
1000,500,0.5949721336364746,0.05,gradient,5.9691102627611485,130.3991169742622,1,10,0.045775695428515166,$\mu_0 = 0.5$
1000,500,0.6109700202941895,0.05,gradient,5.3563144389062955,130.370404566984,1,10,0.04108535565795712,$\mu_0 = 0.5$
1000,500,0.6289699077606201,0.05,gradient,4.882420015215189,130.3497087297287,1,10,0.03745631703204306,$\mu_0 = 0.5$
1000,500,0.6419620513916016,0.05,gradient,3.9693547894617893,130.33227091704725,1,10,0.030455655852019717,$\mu_0 = 0.5$
1000,500,0.6569781303405762,0.05,gradient,4.864643926210874,130.32022436511605,1,10,0.03732838820612893,$\mu_0 = 0.5$
1000,500,0.669975996017456,0.05,gradient,2.5471018644346373,130.31044358096813,1,10,0.01954641389008856,$\mu_0 = 0.5$
1000,500,0.6839621067047119,0.05,gradient,2.5650783156515047,130.30277916667296,1,10,0.019685522688433685,$\mu_0 = 0.5$
1000,500,0.6989710330963135,0.05,gradient,1.60721099570128,130.2968301986213,1,10,0.012334996893257393,$\mu_0 = 0.5$
1000,500,0.7129769325256348,0.05,gradient,2.2314980189373728,130.29223516623287,1,10,0.017126868812176906,$\mu_0 = 0.5$
