n,predicted_ratio,R0_sq,reg,barρ2,newton_reached_tol,H00,T_gradient,H00_over_L0,gradient_reached_tol,T_newton,s,num_slope,μ0,tol,sum_Rj_sq,den_slope,den_intercept,num_intercept,L0,p,quantity,ratio
500,1.0013020915485518,1.842163258891842,0.05,0.0018666782087835673,true,37.96967009921479,115,0.3037573607937183,true,110,10,324.19269020186044,0.5,1.0e-6,9.032737449753956,322.2983257623531,69.94633120901764,230.27040736148024,125.0,1000,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,1.0454545454545454
500,1.0018461903400318,4.548111585872304,0.05,0.002515156575709357,true,33.477522828843625,124,0.267820182630749,true,103,10,278.86614370794865,0.7,1.0e-6,8.641089285034871,274.3380198586143,152.25950944416823,568.513948234038,125.0,1000,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,1.203883495145631
500,1.0037464747486113,12.558960832538016,0.05,0.004494704729945422,true,21.276961587989184,258,0.17021569270391348,true,127,10,203.5947941742363,0.9,1.0e-6,9.752144668863188,195.15924725136767,267.21652721897203,1569.870104067252,125.0,1000,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,2.031496062992126
500,1.00557701907521,20.836921120642874,0.05,0.006298941977392274,true,15.023400446869568,421,0.12018720357495655,true,122,10,136.61634033089408,0.95,1.0e-6,9.074447546509992,127.22919115923212,313.0414100752521,2604.615140080359,125.0,1000,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,3.4508196721311477
500,1.0131113491415786,34.7152509924827,0.05,0.013644347649169586,true,6.521879350087894,954,0.05217503480070315,true,114,10,36.968700949983294,0.99,1.0e-6,5.139501997979363,31.303332459809084,226.4086785809912,4339.406374060338,125.0,1000,Empirical $T_{\mathrm{G}}/T_{\mathrm{N}}$,8.368421052631579
500,1.0013020915485518,1.842163258891842,0.05,0.0018666782087835673,true,37.96967009921479,115,0.3037573607937183,true,110,10,324.19269020186044,0.5,1.0e-6,9.032737449753956,322.2983257623531,69.94633120901764,230.27040736148024,125.0,1000,Iterate-level diagnostic${}$,1.413564436656711
500,1.0018461903400318,4.548111585872304,0.05,0.002515156575709357,true,33.477522828843625,124,0.267820182630749,true,103,10,278.86614370794865,0.7,1.0e-6,8.641089285034871,274.3380198586143,152.25950944416823,568.513948234038,125.0,1000,Iterate-level diagnostic${}$,1.9863689630995234
500,1.0037464747486113,12.558960832538016,0.05,0.004494704729945422,true,21.276961587989184,258,0.17021569270391348,true,127,10,203.5947941742363,0.9,1.0e-6,9.752144668863188,195.15924725136767,267.21652721897203,1569.870104067252,125.0,1000,Iterate-level diagnostic${}$,3.835548910997827
500,1.00557701907521,20.836921120642874,0.05,0.006298941977392274,true,15.023400446869568,421,0.12018720357495655,true,122,10,136.61634033089408,0.95,1.0e-6,9.074447546509992,127.22919115923212,313.0414100752521,2604.615140080359,125.0,1000,Iterate-level diagnostic${}$,6.226242389850822
500,1.0131113491415786,34.7152509924827,0.05,0.013644347649169586,true,6.521879350087894,954,0.05217503480070315,true,114,10,36.968700949983294,0.99,1.0e-6,5.139501997979363,31.303332459809084,226.4086785809912,4339.406374060338,125.0,1000,Iterate-level diagnostic${}$,16.981649622521726
500,1.0013020915485518,1.842163258891842,0.05,0.0018666782087835673,true,37.96967009921479,115,0.3037573607937183,true,110,10,324.19269020186044,0.5,1.0e-6,9.032737449753956,322.2983257623531,69.94633120901764,230.27040736148024,125.0,1000,Cold-start prediction,1.0
500,1.0018461903400318,4.548111585872304,0.05,0.002515156575709357,true,33.477522828843625,124,0.267820182630749,true,103,10,278.86614370794865,0.7,1.0e-6,8.641089285034871,274.3380198586143,152.25950944416823,568.513948234038,125.0,1000,Cold-start prediction,1.0656830521588683
500,1.0037464747486113,12.558960832538016,0.05,0.004494704729945422,true,21.276961587989184,258,0.17021569270391348,true,127,10,203.5947941742363,0.9,1.0e-6,9.752144668863188,195.15924725136767,267.21652721897203,1569.870104067252,125.0,1000,Cold-start prediction,2.0007142621716043
500,1.00557701907521,20.836921120642874,0.05,0.006298941977392274,true,15.023400446869568,421,0.12018720357495655,true,122,10,136.61634033089408,0.95,1.0e-6,9.074447546509992,127.22919115923212,313.0414100752521,2604.615140080359,125.0,1000,Cold-start prediction,3.969810100165258
500,1.0131113491415786,34.7152509924827,0.05,0.013644347649169586,true,6.521879350087894,954,0.05217503480070315,true,114,10,36.968700949983294,0.99,1.0e-6,5.139501997979363,31.303332459809084,226.4086785809912,4339.406374060338,125.0,1000,Cold-start prediction,22.125021187420916
