alpha,block_newton_rate,cyclic_log_rate_ratio,mu0,random_newton_log_rate,cyclic_gradient_radius,random_gradient_log_rate,rho,active_size,block_gradient_rate,block_log_rate_ratio,mean_log_rate_ratio,L0_over_H00,mean_newton_radius,kappa,mean_gradient_radius,random_log_rate_ratio,cyclic_newton_radius,q,bar_rho2,H00_over_L0,asymptotic_ratio,T_gradient_1e-4,T_newton_1e-4,ratio_1e-4,T_gradient_1e-6,T_newton_1e-6,ratio_1e-6,T_gradient_1e-8,T_newton_1e-8,ratio_1e-8,gradient_loggap_slope,newton_loggap_slope,slope_ratio,newton_late_full_step_fraction,design
0.3,0.9737343901878545,8.622910388897226,0.5,-0.026504520450553595,0.9938126679686728,-0.005614997493440935,0.2,176,0.9943987657876507,4.738616263879249,4.714480291366209,4.689253978031638,0.973883605484063,0.9737343901878545,0.9944024901348627,4.7203085097570225,0.9478883580441365,0.2132535377023362,0.08373925170810671,0.21325353787674378,4.689253974196572,1402,297,4.720538720538721,2218,477,4.649895178197065,3041,653,4.656967840735069,-0.005616221854629998,-0.02622888440913276,4.670200908731862,0.9943502824858758,$\rho = 0.2$
0.3,0.9702403119835197,15.939021501639733,0.7,-0.030177744967583117,0.9943468205931175,-0.005246591310771785,0.2,144,0.9947690607963342,5.760420140343498,5.74271292129593,5.689167252340648,0.9703295906652968,0.9702403119835197,0.9947689125790435,5.751876443210879,0.9136005800254436,0.17577264925522765,0.08445824478371765,0.1757726495270616,5.689167243542301,1674,293,5.713310580204778,2545,446,5.70627802690583,3421,597,5.730318257956449,-0.005250101691349717,-0.03021318280818252,5.754780494626037,0.9967105263157895,$\rho = 0.2$
0.3,0.9701129664406006,26.145220738344598,0.9,-0.029377984523222475,0.9965070341637805,-0.0033355874703467282,0.2,137,0.9966609325538484,9.072014272251527,8.819455700379436,8.950712748808053,0.9710056633172205,0.9701129664406006,0.9966694142895249,8.807439404420322,0.9125757058560204,0.1117229463243771,0.0845184907771074,0.11172294649062009,8.950712735489454,2530,280,9.035714285714286,3904,443,8.812641083521445,5290,600,8.816666666666666,-0.003333872406960301,-0.02887063439852021,8.659789840260673,0.9780564263322884,$\rho = 0.2$
0.3,0.9676671293154494,30.772209929929694,0.95,-0.032889082380053364,0.9981283096182866,-0.001830918416844138,0.2,112,0.9981711668598954,17.955198527837158,17.97971740869386,17.679508302600706,0.9676147029141593,0.9676671293154494,0.9981706506892556,17.963161043921673,0.9439802660269856,0.05656265903350362,0.0889090496575294,0.05656265918106688,17.679508256477593,4607,261,17.65134099616858,7123,400,17.8075,9642,561,17.18716577540107,-0.0018292953244924564,-0.030942281441301657,16.914863897051006,0.9130434782608695,$\rho = 0.2$
0.0,0.4072100365662551,0.9827586975956983,0.5,-0.10325822557049837,0.8629403123298514,-0.10306927035739914,0.6,173,0.8199356852018002,4.525406724542213,1.0018370703449453,3.292101292241561,0.9018538761492231,0.4072100365662551,0.9020247273259089,1.001833283697886,0.8651362957184965,0.3037573607946642,0.0018666782079014793,0.3037573609005859,3.2921012910935885,70,70,1.0,115,110,1.0454545454545454,160,155,1.032258064516129,-0.10326396596014344,-0.10325314594322328,0.9998952198202001,1.0,$\rho = 0.6$
0.1,0.8102117500207809,2.39833848990063,0.5,-0.10176407598461547,0.9412454337319631,-0.056204260400725736,0.6,173,0.9423504220765823,3.544399906826506,1.810842211784297,3.292101292247721,0.9032031683665978,0.8102117500207809,0.9453299869389409,1.8106114244553149,0.8648297293542185,0.3037573607940958,0.012043770279081394,0.30375736090113264,3.292101291087663,141,70,2.0142857142857142,224,112,2.0,305,159,1.9182389937106918,-0.05630554079834133,-0.10165989421802872,1.8055042679036564,1.0,$\rho = 0.6$
0.2,0.9368822368391829,5.936291283274584,0.5,-0.06373290577016023,0.9785108722105138,-0.019368160540053442,0.6,173,0.9808275148430514,3.367882036874562,3.292982699655585,3.2921012922490966,0.9381972642946628,0.9368822368391829,0.9808134222440666,3.290601894710667,0.8790123617968844,0.30375736079396887,0.041371294189143946,0.30375736079930765,3.2921012921912354,370,117,3.1623931623931623,604,187,3.229946524064171,843,258,3.2674418604651163,-0.019356973090236252,-0.0639530514015158,3.3038766496903396,1.0,$\rho = 0.6$
0.3,0.970068885876749,7.883615125043699,0.5,-0.03030019733119451,0.9895166970156188,-0.009136563716270639,0.6,173,0.9909082037683241,3.3271579072412147,3.315639822885293,3.292101292258479,0.9701633321471713,0.970068885876749,0.9909058597041407,3.3163668827958923,0.9202751470129198,0.30375736079310317,0.08656498498097336,0.30375736069905396,3.2921012932777782,590,189,3.121693121693122,1095,339,3.230088495575221,1602,494,3.242914979757085,-0.009151635890898749,-0.030306024845251345,3.311541805918057,1.0,$\rho = 0.6$
0.0,0.7344981587939459,2.920831430346518,0.9,-0.08552463195403281,0.9555726586519083,-0.043587014294418684,0.6,147,0.9548074201849863,6.672368890404327,1.9611755089536154,5.874898983258539,0.918066049808721,0.7344981587939459,0.9573472184866028,1.9621585313537808,0.875696549439199,0.17021569270376552,0.004494704731807129,0.17021569270891607,5.874898983080771,148,73,2.0273972602739727,258,127,2.031496062992126,364,179,2.0335195530726256,-0.04342707460035742,-0.08716444553151102,2.007145227571779,1.0,$\rho = 0.6$
0.1,0.8820192623117292,5.472046904832808,0.9,-0.07810157019068278,0.9796060684428856,-0.01969891152650892,0.6,147,0.9799178270083441,6.188401520764873,3.9678337249540254,5.874898983157405,0.9248119038410595,0.8820192623117292,0.9804931266919993,3.9647657732550923,0.8933737896119907,0.1702156927066957,0.01467591034276757,0.17021569311298887,5.874898969134425,429,94,4.5638297872340425,658,157,4.191082802547771,895,213,4.2018779342723,-0.01971880028621873,-0.07652733631647099,3.8809326736756478,1.0,$\rho = 0.6$
