primals,time,reg,strategy,gaps,dataset,relgaps
1716.9255662469845,0.00273895263671875,0.05,gradient,1676.6111739200821,w1a,0.976519429193995
650.5587742265277,0.06609010696411133,0.05,gradient,607.7531395314764,w1a,0.9342017410403166
551.9079302258694,0.0842430591583252,0.05,gradient,473.0412673027083,w1a,0.8571017762131361
500.30011372247213,0.09901309013366699,0.05,gradient,421.4200749753602,w1a,0.8423345576314051
473.41556543259867,0.3220701217651367,0.05,gradient,402.4758053256613,w1a,0.8501533002149732
446.80843019091037,0.349107027053833,0.05,gradient,376.4800796831853,w1a,0.8425984252855849
420.3537164361258,0.3692741394042969,0.05,gradient,347.8936664997866,w1a,0.8276212458624718
393.9451737155513,0.3866291046142578,0.05,gradient,318.9885930701164,w1a,0.8097283945923973
367.5456736042781,0.40314817428588867,0.05,gradient,291.58384243067417,w1a,0.7933268254018709
339.9887047578723,0.4181029796600342,0.05,gradient,264.82882851605746,w1a,0.7789341963717853
312.1954385232279,0.4321110248565674,0.05,gradient,237.33812524417903,w1a,0.7602229115417414
284.3060824983417,0.4454469680786133,0.05,gradient,209.54964324781244,w1a,0.7370564899856995
255.29116788633735,0.4583771228790283,0.05,gradient,183.2311992048232,w1a,0.717734188463593
232.99428704330802,0.4715311527252197,0.05,gradient,148.725771115967,w1a,0.6383236816803258
216.3598742128674,0.4849820137023926,0.05,gradient,125.84684197146318,w1a,0.5816551818090251
204.19440859909398,0.4988880157470703,0.05,gradient,112.36993799248722,w1a,0.5503085944586722
195.4482087671524,0.5124759674072266,0.05,gradient,99.8252584070166,w1a,0.5107504388845211
189.32571553103162,0.5264849662780762,0.05,gradient,91.71534434339787,w1a,0.48443152102264303
184.57585181446552,0.5404670238494873,0.05,gradient,84.22372080460897,w1a,0.45630953332546514
180.80218034499023,0.5544281005859375,0.05,gradient,77.54744523076782,w1a,0.42890768840729054
177.74578397848222,0.568397045135498,0.05,gradient,71.67560304365185,w1a,0.4032478376664554
175.23046866701486,0.5822081565856934,0.05,gradient,66.47272063466966,w1a,0.3793445348878553
173.13185000221245,0.5961661338806152,0.05,gradient,61.86539164979898,w1a,0.3573310840784547
171.35993395998392,0.6099081039428711,0.05,gradient,57.78881774798462,w1a,0.3372364613625464
169.84863337721063,0.6236059665679932,0.05,gradient,54.12505008488992,w1a,0.31866638552625604
168.54849309262795,0.6373381614685059,0.05,gradient,50.74857365210667,w1a,0.3010918265772756
167.42142449929463,0.6507570743560791,0.05,gradient,47.65927039212919,w1a,0.2846664967441487
166.43773603494918,0.6641941070556641,0.05,gradient,44.82328295663169,w1a,0.26930961706436296
165.5742235620535,0.6776900291442871,0.05,gradient,42.06244903640385,w1a,0.2540398386385293
164.81228585900215,0.6909401416778564,0.05,gradient,39.53235272259765,w1a,0.2398628992769253
164.13675967393345,0.7281720638275146,0.05,gradient,37.22832997917706,w1a,0.22681287271134845
163.53522543630558,0.9218029975891113,0.05,gradient,35.11606387116947,w1a,0.21473088612854624
162.99743263485448,0.9426031112670898,0.05,gradient,33.16347159724455,w1a,0.2034600856047659
162.51486719158592,0.9726901054382324,0.05,gradient,31.34547429110509,w1a,0.19287757995797677
162.08041050163578,0.9885101318359375,0.05,gradient,29.642622453374344,w1a,0.18288837226923965
161.68806768831325,1.0115389823913574,0.05,gradient,28.043542723298003,w1a,0.17344225287766846
161.3327555264978,1.026505947113037,0.05,gradient,26.54253067850101,w1a,0.16452040747634525
161.0101372989431,1.0436820983886719,0.05,gradient,25.132580858995993,w1a,0.156093158360166
160.7165012242746,1.057981014251709,0.05,gradient,23.807918733000236,w1a,0.14813611889035008
160.45035296509738,1.0758681297302246,0.05,gradient,22.527614445075216,w1a,0.1404023988029221
160.2073933155387,1.0936870574951172,0.05,gradient,21.344691849641322,w1a,0.13323162812843217
159.9849541848145,1.1096251010894775,0.05,gradient,20.245389522436454,w1a,0.12654558439944918
159.7808932868927,1.1253931522369385,0.05,gradient,19.217769911498493,w1a,0.12027576962529714
159.59337189143577,1.138862133026123,0.05,gradient,18.246298919276143,w1a,0.11432992926353035
159.42078043779264,1.152496099472046,0.05,gradient,17.32600824441502,w1a,0.10868098999914116
159.26169061006092,1.1659510135650635,0.05,gradient,16.459610557164723,w1a,0.10334946523621125
159.1148243268861,1.1792891025543213,0.05,gradient,15.644974275676276,w1a,0.09832505765481149
158.97905063813687,1.1927690505981445,0.05,gradient,14.87283960573086,w1a,0.09355219789042489
158.85336991166426,1.2061619758605957,0.05,gradient,14.14054387322895,w1a,0.08901632921663716
158.73689182291656,1.219602108001709,0.05,gradient,13.447661189721202,w1a,0.08471667194241854
158.62881825874717,1.2329139709472656,0.05,gradient,12.793300918079694,w1a,0.08064928591481983
158.52843446543957,1.2463490962982178,0.05,gradient,12.172505541933447,w1a,0.07678436731542408
158.43509713453105,1.2595031261444092,0.05,gradient,11.583592930606784,w1a,0.07311254349641277
158.34822686746895,1.2727811336517334,0.05,gradient,11.025346492303981,w1a,0.06962721787552285
158.26730062300368,1.286355972290039,0.05,gradient,10.495621023753529,w1a,0.06631578969527216
158.19184526151702,1.299915075302124,0.05,gradient,9.99259350851031,w1a,0.06316756399162624
158.12143195167866,1.313265085220337,0.05,gradient,9.514327885029815,w1a,0.06017102025699691
158.05567129570525,1.326491117477417,0.05,gradient,9.05796009089002,w1a,0.057308668626914035
157.9942090732605,1.340029001235962,0.05,gradient,8.623871736296223,w1a,0.05458346724782433
157.93672252027505,1.3538861274719238,0.05,gradient,8.21442933400806,w1a,0.05201088893657101
157.8829170679749,1.3713500499725342,0.05,gradient,7.826892296719137,w1a,0.04957402892011013
157.83252347651666,1.3924071788787842,0.05,gradient,7.457653627936281,w1a,0.04725042382691093
157.7852953071899,1.4060981273651123,0.05,gradient,7.107701487314898,w1a,0.045046665935992436
157.74100668613903,1.4196009635925293,0.05,gradient,6.77615398117743,w1a,0.04295746631476812
157.69945032034767,1.6261441707611084,0.05,gradient,6.462776227023397,w1a,0.04098160275064394
157.66043573303048,1.6529271602630615,0.05,gradient,6.166590659261487,w1a,0.039113114400517686
157.62378769073248,1.670881986618042,0.05,gradient,5.886225434304322,w1a,0.03734350963481132
157.58934479855054,1.6993491649627686,0.05,gradient,5.618951262196845,w1a,0.035655654697845575
157.55695824323126,1.716691017150879,0.05,gradient,5.3649324916819126,w1a,0.03405074933853258
157.52649066663395,1.738326072692871,0.05,gradient,5.124733757461911,w1a,0.03253252031308911
157.49781515435234,1.7537841796875,0.05,gradient,4.896742392524402,w1a,0.031090859182557263
157.47081432623992,1.770524024963379,0.05,gradient,4.679908612213239,w1a,0.029719212618775477
157.44537951726426,1.7894229888916016,0.05,gradient,4.472037351824042,w1a,0.02840373827123757
157.42141003856946,1.8065860271453857,0.05,gradient,4.272713987610814,w1a,0.02714188614219607
157.39881250988208,1.8228521347045898,0.05,gradient,4.083261390007863,w1a,0.02594213593416723
157.37750025548732,1.83937406539917,0.05,gradient,3.902251180965834,w1a,0.024795483310072294
157.357392756945,1.8551721572875977,0.05,gradient,3.7301843848325404,w1a,0.02370517405937325
157.33841515653685,1.868941068649292,0.05,gradient,3.5653106879991867,w1a,0.02266014110064627
157.3204971947157,1.882296085357666,0.05,gradient,3.4082656310504262,w1a,0.02166447279169232
157.30357498794277,1.8956570625305176,0.05,gradient,3.2585664786017503,w1a,0.02071514572285797
