"problem","tol","primal","final_lambda","runtime"
"synthetic",0.1,0.117180307192955,0.00374562643338917,0.0190000000000001
"synthetic",0.0562341325190349,0.117180307192955,0.00374562643338917,0.016
"synthetic",0.0316227766016838,0.117180307192955,0.00374562643338917,0.012
"synthetic",0.0177827941003892,0.117180307192955,0.00374562643338917,0.0139999999999998
"synthetic",0.01,0.117180307192955,0.00374562643338917,0.0129999999999999
"synthetic",0.00562341325190349,0.117180307192955,0.00374562643338917,0.016
"synthetic",0.00316227766016838,0.117180307192955,0.00374562643338917,0.0129999999999999
"synthetic",0.00177827941003892,0.117180307192955,0.00374562643338917,0.0139999999999998
"synthetic",0.001,0.117180307192955,0.00374562643338917,0.0109999999999997
"synthetic",0.000562341325190349,0.117180210083105,0.00374562643338917,0.0150000000000001
"synthetic",0.000316227766016838,0.117180270614453,0.00374562643338917,0.02
"synthetic",0.000177827941003892,0.117179477105561,0.00374562643338917,0.0139999999999998
"synthetic",1e-04,0.117171235392713,0.00374562643338917,0.0150000000000001
"synthetic",5.62341325190349e-05,0.117171257219672,0.00374562643338917,0.0140000000000002
"synthetic",3.16227766016838e-05,0.11717122996889,0.00374562643338917,0.0150000000000001
"synthetic",1.77827941003892e-05,0.117170502006408,0.00374562643338917,0.0150000000000001
"synthetic",1e-05,0.117170496364935,0.00374562643338917,0.0149999999999997
"synthetic",5.62341325190349e-06,0.117170495570811,0.00374562643338917,0.024
"synthetic",3.16227766016838e-06,0.117170470688457,0.00374562643338917,0.0189999999999997
"synthetic",1.77827941003892e-06,0.117170170764726,0.00374562643338917,0.0190000000000001
"synthetic",1e-06,0.117170171368066,0.00374562643338917,0.0179999999999998
"synthetic",5.62341325190349e-07,0.117170001798785,0.00374562643338917,0.0219999999999998
"synthetic",3.16227766016838e-07,0.117169995259606,0.00374562643338917,0.0219999999999998
"synthetic",1.77827941003892e-07,0.117169898057749,0.00374562643338917,0.0210000000000004
"synthetic",1e-07,0.117169817231783,0.00374562643338917,0.0220000000000002
"synthetic",5.62341325190349e-08,0.117169806600984,0.00374562643338917,0.0220000000000002
"synthetic",3.16227766016838e-08,0.1171697996829,0.00374562643338917,0.0229999999999997
"synthetic",1.77827941003892e-08,0.117169792282347,0.00374562643338917,0.0230000000000001
"synthetic",1e-08,0.117169790433691,0.00374562643338917,0.0300000000000002
"synthetic",5.62341325190349e-09,0.117169789237598,0.00374562643338917,0.0270000000000001
"synthetic",3.16227766016838e-09,0.117169788473048,0.00374562643338917,0.0299999999999998
"synthetic",1.77827941003892e-09,0.117169787464001,0.00374562643338917,0.0309999999999997
"synthetic",1e-09,0.117169787067885,0.00374562643338917,0.0310000000000001
"synthetic",5.62341325190349e-10,0.117169786874192,0.00374562643338917,0.0330000000000004
"synthetic",3.16227766016838e-10,0.117169786718855,0.00374562643338917,0.0349999999999997
"synthetic",1.77827941003892e-10,0.117169786666541,0.00374562643338917,0.036
"synthetic",1e-10,0.117169786610215,0.00374562643338917,0.0449999999999999
"synthetic",5.62341325190349e-11,0.117169786575763,0.00374562643338917,0.0410000000000004
"synthetic",3.16227766016838e-11,0.117169786554254,0.00374562643338917,0.0430000000000001
"synthetic",1.77827941003892e-11,0.117169786540483,0.00374562643338917,0.0449999999999999
"synthetic",1e-11,0.117169786524945,0.00374562643338917,0.0419999999999998
"synthetic",5.62341325190349e-12,0.117169786515375,0.00374562643338917,0.0440000000000005
"synthetic",3.16227766016838e-12,0.117169786512913,0.00374562643338917,0.0460000000000003
"synthetic",1.77827941003892e-12,0.117169786511653,0.00374562643338917,0.048
"synthetic",1e-12,0.117169786510979,0.00374562643338917,0.0540000000000003
