problem,tol,n_iter,primal,runtime
synthetic,0.1,0,0.6931471805599454,1.839085367000024
synthetic,0.0562341325190349,8,0.3462327902206973,0.660109503000001
synthetic,0.0316227766016838,24,0.23416829578397905,0.14483158000001595
synthetic,0.0177827941003892,49,0.17614274808524943,0.29352607300000955
synthetic,0.01,89,0.14667734497145585,0.5301875969999799
synthetic,0.0056234132519035,153,0.13156490798518494,0.8618982520000031
synthetic,0.0031622776601684,246,0.12372986076281892,1.3015077120000171
synthetic,0.0017782794100389,406,0.11981402188022637,2.0437611890000085
synthetic,0.001,617,0.11816203167508979,3.008853608999999
synthetic,0.0005623413251903,843,0.11751913749181239,3.9148319870000137
synthetic,0.0003162277660168,978,0.11728913711968339,4.4588997449999965
synthetic,0.0001778279410039,1012,0.11720944448179217,4.639456332000009
synthetic,0.0001,1225,0.11718245921728257,5.501283061999999
synthetic,5.6234132519e-05,1117,0.11717382545238639,5.098489174000008
synthetic,3.16227766017e-05,1463,0.11717106675945926,6.642429901000014
synthetic,1.77827941004e-05,1453,0.11717019410294242,6.731657421000023
synthetic,1e-05,1549,0.117169915901081,7.399571637999998
synthetic,5.6234132519e-06,1540,0.11716982749714899,8.819398514
synthetic,3.1622776602e-06,1572,0.117169799472431,9.466020361999995
synthetic,1.77827941e-06,1030,0.1171697906206221,7.233343299000012
synthetic,1e-06,1239,0.11716978780813751,8.227153459999982
synthetic,5.623413252e-07,1500,0.11716978692091237,9.347267093999989
synthetic,3.16227766e-07,1487,0.11716978663993184,9.423797132000004
synthetic,1.77827941e-07,1476,0.1171697865513148,9.44843982599997
synthetic,1e-07,1478,0.11716978652319576,9.52345143499997
