problem,tol,n_iter,primal,runtime
news20-3pct,0.1,3,0.5333461664918618,0.2554788689999441
news20-3pct,0.0562341325190349,14,0.2790826376638212,1.1269603030000326
news20-3pct,0.0316227766016838,30,0.16891172817315103,2.4986539129999983
news20-3pct,0.0177827941003892,55,0.11331373304603051,4.447053895000067
news20-3pct,0.01,98,0.0826644518632072,7.58003256500001
news20-3pct,0.0056234132519035,170,0.06641458204202574,12.618483962000028
news20-3pct,0.0031622776601684,289,0.05783516615319008,20.265017725999996
news20-3pct,0.0017782794100389,480,0.05343224455407748,32.23998473900008
news20-3pct,0.001,770,0.05129980464824496,50.6997494850001
news20-3pct,0.0005623413251903,1175,0.05035018643011517,74.14160974499998
news20-3pct,0.0003162277660168,1694,0.049961277982191604,105.89235980199999
news20-3pct,0.0001778279410039,2000,0.04986797138454396,121.87822272999995
news20-3pct,0.0001,2000,0.04986797138454396,123.32858208799996
news20-3pct,5.6234132519e-05,2000,0.04986797138454396,123.02337077100015
news20-3pct,3.16227766017e-05,2000,0.04986797138454396,122.79582521999987
news20-3pct,1.77827941004e-05,2000,0.04986797138454396,122.36091196000007
news20-3pct,1e-05,2000,0.04986797138454396,124.59818340200013
news20-3pct,5.6234132519e-06,2000,0.04986797138454396,122.35058108000021
news20-3pct,3.1622776602e-06,2000,0.04986797138454396,123.431059495
news20-3pct,1.77827941e-06,2000,0.04986797138454396,128.00025362700012
news20-3pct,1e-06,2000,0.04986797138454396,128.15540605000024
news20-3pct,5.623413252e-07,2000,0.04986797138454396,126.1273979319999
news20-3pct,3.16227766e-07,2000,0.04986797138454396,126.74097798799994
news20-3pct,1.77827941e-07,2000,0.04986797138454396,126.62723684899993
news20-3pct,1e-07,2000,0.04986797138454396,128.13745939499995
