problem,solver,tol,n_iter,primal,runtime
news20-3pct,LIBLINEAR,0.1,6,0.0509751283766975,0.41800514099986685
news20-3pct,LIBLINEAR,0.03162277660168379,9,0.04987472065591751,0.5822296070000448
news20-3pct,LIBLINEAR,0.01,11,0.049757872293573494,0.6675333819998741
news20-3pct,LIBLINEAR,0.0031622776601683794,12,0.04975214703953467,0.7060163199998897
news20-3pct,LIBLINEAR,0.001,14,0.04974108926502392,0.9423156800003198
news20-3pct,LIBLINEAR,0.00031622776601683794,16,0.04974184826964777,0.8864073079998889
news20-3pct,LIBLINEAR,0.0001,17,0.04973987654868784,1.1472438519999741
news20-3pct,LIBLINEAR,3.1622776601683795e-05,20,0.04974060155904213,1.1621918310002002
news20-3pct,LIBLINEAR,1e-05,24,0.04973920575799555,1.3174752019999687
news20-3pct,LIBLINEAR,3.162277660168379e-06,28,0.049739205705428245,1.254628102999959
news20-3pct,LIBLINEAR,1e-06,26,0.04974027173640305,1.315514721999989
news20-3pct,LIBLINEAR,3.162277660168379e-07,33,0.04973920556443044,1.3937153200004104
news20-3pct,LIBLINEAR,1e-07,5000,0.04973920556420003,80.61757985699978
news20-3pct,LIBLINEAR,3.162277660168379e-08,5000,0.049739205564200015,92.75550085999976
news20-3pct,LIBLINEAR,1e-08,5000,0.04973920556419232,101.18546212499996
news20-3pct,BlitzL1,0.1,-1,0.04975608637315235,0.06227696899986768
news20-3pct,BlitzL1,0.03162277660168379,-1,0.04974084968854382,0.0580417450000823
news20-3pct,BlitzL1,0.01,-1,0.04974084968854382,0.060465270999884524
news20-3pct,BlitzL1,0.0031622776601683794,-1,0.04973920763054913,0.10717645199974868
news20-3pct,BlitzL1,0.001,-1,0.04973920564645697,0.1165091590000884
news20-3pct,BlitzL1,0.00031622776601683794,-1,0.04973920564645697,0.12122475500018481
news20-3pct,BlitzL1,0.0001,-1,0.04973920556438864,0.12775954300013836
news20-3pct,BlitzL1,3.1622776601683795e-05,-1,0.04973920556438864,0.15213773999994373
news20-3pct,BlitzL1,1e-05,-1,0.04973920556438864,0.1434874110000237
news20-3pct,BlitzL1,3.162277660168379e-06,-1,0.04973920556417333,0.1433027520001815
news20-3pct,BlitzL1,1e-06,-1,0.04973920556417333,0.13789566900004502
news20-3pct,BlitzL1,3.162277660168379e-07,-1,0.04973920556417309,0.13699804100042456
news20-3pct,BlitzL1,1e-07,-1,0.0497392055641727,0.14864415900001404
news20-3pct,BlitzL1,3.162277660168379e-08,-1,0.0497392055641727,0.1537666439999157
news20-3pct,BlitzL1,1e-08,-1,0.0497392055641727,0.1624842300002456
news20-3pct,BlitzL1,3.1622776601683795e-09,-1,0.0497392055641727,0.1477376819998426
news20-3pct,BlitzL1,1e-09,-1,0.0497392055641727,0.14253367799983607
news20-3pct,BlitzL1,3.1622776601683795e-10,-1,0.0497392055641727,0.1432874649999576
news20-3pct,BlitzL1,1e-10,-1,0.0497392055641727,0.1498318929998277
