"problem","tol","primal","final_lambda","runtime"
"news20-3pct",0.1,0.0497439872575729,0.00228639068886422,0.154999999999999
"news20-3pct",0.0562341325190349,0.0497439872575729,0.00228639068886422,0.15
"news20-3pct",0.0316227766016838,0.0497439872575729,0.00228639068886422,0.148999999999999
"news20-3pct",0.0177827941003892,0.0497439872575729,0.00228639068886422,0.148
"news20-3pct",0.01,0.0497439872575729,0.00228639068886422,0.15
"news20-3pct",0.00562341325190349,0.0497439872575729,0.00228639068886422,0.153
"news20-3pct",0.00316227766016838,0.0497439872575729,0.00228639068886422,0.152000000000001
"news20-3pct",0.00177827941003892,0.0497439872575729,0.00228639068886422,0.153
"news20-3pct",0.001,0.0497439872575729,0.00228639068886422,0.15
"news20-3pct",0.000562341325190349,0.0497439872575728,0.00228639068886422,0.148
"news20-3pct",0.000316227766016838,0.0497439872575729,0.00228639068886422,0.151
"news20-3pct",0.000177827941003892,0.0497439089194778,0.00228639068886422,0.15
"news20-3pct",1e-04,0.0497437590359374,0.00228639068886422,0.16
"news20-3pct",5.62341325190349e-05,0.0497399052306869,0.00228639068886422,0.185
"news20-3pct",3.16227766016838e-05,0.0497398891729401,0.00228639068886422,0.161
"news20-3pct",1.77827941003892e-05,0.0497395382090542,0.00228639068886422,0.168000000000001
"news20-3pct",1e-05,0.0497395349129864,0.00228639068886422,0.164
"news20-3pct",5.62341325190349e-06,0.0497393820430391,0.00228639068886422,0.166
"news20-3pct",3.16227766016838e-06,0.0497393843718822,0.00228639068886422,0.179
"news20-3pct",1.77827941003892e-06,0.049739384001434,0.00228639068886422,0.173000000000002
"news20-3pct",1e-06,0.0497393829398484,0.00228639068886422,0.178000000000001
"news20-3pct",5.62341325190349e-07,0.0497393530617062,0.00228639068886422,0.174000000000003
"news20-3pct",3.16227766016838e-07,0.0497393064175622,0.00228639068886422,0.178999999999998
"news20-3pct",1.77827941003892e-07,0.0497392667659825,0.00228639068886422,0.192
"news20-3pct",1e-07,0.0497392251193705,0.00228639068886422,0.182000000000002
"news20-3pct",5.62341325190349e-08,0.049739217880164,0.00228639068886422,0.192999999999998
"news20-3pct",3.16227766016838e-08,0.0497392084005246,0.00228639068886422,0.193000000000001
"news20-3pct",1.77827941003892e-08,0.0497392076236409,0.00228639068886422,0.194999999999997
"news20-3pct",1e-08,0.0497392061490985,0.00228639068886422,0.204000000000001
"news20-3pct",5.62341325190349e-09,0.0497392060134154,0.00228639068886422,0.210999999999999
"news20-3pct",3.16227766016838e-09,0.0497392057471568,0.00228639068886422,0.215
"news20-3pct",1.77827941003892e-09,0.0497392056636143,0.00228639068886422,0.219999999999999
"news20-3pct",1e-09,0.0497392056293233,0.00228639068886422,0.236999999999998
"news20-3pct",5.62341325190349e-10,0.0497392055989736,0.00228639068886422,0.256
"news20-3pct",3.16227766016838e-10,0.0497392055938719,0.00228639068886422,0.247999999999998
"news20-3pct",1.77827941003892e-10,0.0497392055949034,0.00228639068886422,0.248000000000001
"news20-3pct",1e-10,0.0497392055976324,0.00228639068886422,0.263999999999999
"news20-3pct",5.62341325190349e-11,0.0497392055878099,0.00228639068886422,0.273
"news20-3pct",3.16227766016838e-11,0.0497392055814051,0.00228639068886422,0.282
"news20-3pct",1.77827941003892e-11,0.049739205572785,0.00228639068886422,0.282
"news20-3pct",1e-11,0.0497392055686352,0.00228639068886422,0.301000000000002
"news20-3pct",5.62341325190349e-12,0.0497392055663406,0.00228639068886422,0.305
"news20-3pct",3.16227766016838e-12,0.049739205565527,0.00228639068886422,0.309999999999999
"news20-3pct",1.77827941003892e-12,0.0497392055650728,0.00228639068886422,0.335000000000001
"news20-3pct",1e-12,0.0497392055644871,0.00228639068886422,0.337999999999997
