"problem","alg","eps","npasses","primal","final_lambda","runtime"
"w1a","Newton",0.1,84,0.0633956004551116,0.00239220465394607,0.132999999999999
"w1a","Newton",0.0316227766016838,84,0.0633956004551116,0.00239220465394607,0.142000000000003
"w1a","Newton",0.01,84,0.0633956004551116,0.00239220465394607,0.131
"w1a","Newton",0.00316227766016838,84,0.0633956004551116,0.00239220465394607,0.132999999999999
"w1a","Newton",0.001,88,0.0633956004551116,0.00239220465394607,0.136000000000003
"w1a","Newton",0.000316227766016838,97,0.0633956004544324,0.00239220465394607,0.131
"w1a","Newton",1e-04,113,0.0633956004545403,0.00239220465394607,0.140000000000001
"w1a","Newton",3.16227766016838e-05,138,0.063393350829742,0.00239220465394607,0.149000000000001
"w1a","Newton",1e-05,166,0.0633842349792288,0.00239220465394607,0.167000000000002
"w1a","Newton",3.16227766016838e-06,207,0.0633820100379352,0.00239220465394607,0.183
"w1a","Newton",1e-06,275,0.0633812160174054,0.00239220465394607,0.213000000000001
"w1a","Newton",3.16227766016838e-07,349,0.0633809476157856,0.00239220465394607,0.247
"w1a","Newton",1e-07,442,0.0633807323468882,0.00239220465394607,0.305000000000003
"w1a","Newton",3.16227766016838e-08,557,0.0633807183093602,0.00239220465394607,0.356999999999999
"w1a","Newton",1e-08,696,0.0633807097779176,0.00239220465394607,0.449999999999999
"w1a","Newton",3.16227766016838e-09,863,0.0633807072833764,0.00239220465394607,0.529
"w1a","Newton",1e-09,1028,0.0633807067895607,0.00239220465394607,0.633999999999997
"w1a","Newton",3.16227766016838e-10,1202,0.063380706688498,0.00239220465394607,0.709
"w1a","Newton",1e-10,1392,0.0633807066350179,0.00239220465394607,0.823
"w1a","Newton",3.16227766016838e-11,1585,0.0633807066270806,0.00239220465394607,0.921000000000003
"w1a","Newton",1e-11,1783,0.0633807066109698,0.00239220465394607,1.047
"w1a","Newton",3.16227766016838e-12,1983,0.0633807066080376,0.00239220465394607,1.119
"w1a","Newton",1e-12,2190,0.0633807066081524,0.00239220465394607,1.285
"w1a","Newton",3.16227766016838e-13,2412,0.0633807066088401,0.00239220465394607,1.405
"w1a","Newton",1e-13,2627,0.063380706608578,0.00239220465394607,1.55
"w1a","MM",0.1,82,0.0652034698585034,0.00239220465394607,0.124000000000002
"w1a","MM",0.0316227766016838,82,0.0652034698585034,0.00239220465394607,0.115000000000002
"w1a","MM",0.01,82,0.0652034698585034,0.00239220465394607,0.117999999999995
"w1a","MM",0.00316227766016838,82,0.0652034698585034,0.00239220465394607,0.117999999999995
"w1a","MM",0.001,84,0.0652032437660755,0.00239220465394607,0.125
"w1a","MM",0.000316227766016838,96,0.0652018432882446,0.00239220465394607,0.119999999999997
"w1a","MM",1e-04,122,0.0651912359973978,0.00239220465394607,0.123999999999995
"w1a","MM",3.16227766016838e-05,178,0.064480550424457,0.00239220465394607,0.139000000000003
"w1a","MM",1e-05,286,0.0638455066761553,0.00239220465394607,0.170999999999999
"w1a","MM",3.16227766016838e-06,470,0.0635462120677113,0.00239220465394607,0.225999999999999
"w1a","MM",1e-06,713,0.0634421439459125,0.00239220465394607,0.310000000000002
"w1a","MM",3.16227766016838e-07,1067,0.0634003201716376,0.00239220465394607,0.466999999999999
"w1a","MM",1e-07,1533,0.0633864409733102,0.00239220465394607,0.646999999999998
"w1a","MM",3.16227766016838e-08,2110,0.0633821726443312,0.00239220465394607,0.907000000000004
"w1a","MM",1e-08,2810,0.0633810759303739,0.00239220465394607,1.172
"w1a","MM",3.16227766016838e-09,3584,0.0633808062361748,0.00239220465394607,1.469
"w1a","MM",1e-09,4455,0.0633807357377092,0.00239220465394607,1.902
"w1a","MM",3.16227766016838e-10,5397,0.0633807151572076,0.00239220465394607,2.224
"w1a","MM",1e-10,6308,0.0633807080521767,0.00239220465394607,2.512
"w1a","MM",3.16227766016838e-11,7217,0.0633807068652427,0.00239220465394607,2.89
"w1a","MM",1e-11,8177,0.0633807066668029,0.00239220465394607,3.828
"w1a","MM",3.16227766016838e-12,9182,0.0633807066279016,0.00239220465394607,3.787
"w1a","MM",1e-12,10193,0.0633807066176173,0.00239220465394607,4.208
"w1a","MM",3.16227766016838e-13,11192,0.0633807066131876,0.00239220465394607,4.599
"w1a","MM",1e-13,12193,0.0633807066108381,0.00239220465394607,5.70999999999999
