"problem","tol","primal","final_lambda","runtime"
"w1a",0.1,0.063391357644891,0.00239220465394619,0.0230000000000001
"w1a",0.0562341325190349,0.0633915208720817,0.00239220465394619,0.0250000000000004
"w1a",0.0316227766016838,0.0633915208720817,0.00239220465394619,0.024
"w1a",0.0177827941003892,0.0633915208720817,0.00239220465394619,0.024
"w1a",0.01,0.0633916544682271,0.00239220465394619,0.0230000000000001
"w1a",0.00562341325190349,0.0633916544682271,0.00239220465394619,0.0229999999999997
"w1a",0.00316227766016838,0.0633916544682271,0.00239220465394619,0.0230000000000001
"w1a",0.00177827941003892,0.0633920232298854,0.00239220465394619,0.024
"w1a",0.001,0.0633918899958244,0.00239220465394619,0.0230000000000006
"w1a",0.000562341325190349,0.0633922938676105,0.00239220465394619,0.024
"w1a",0.000316227766016838,0.0633916754802707,0.00239220465394619,0.0259999999999998
